,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,sigil.csv,img-browse-sort.csv,doomlegacy.csv,illumination.csv,pi-qmc.csv,bibletime.csv
bibletime.csv,0.65,0.68,0.58,0.49,0.58,0.7,0.72,0.83,0.7,0.8,0.72,0.71,0.5,0.5,0.68,0.82,0.49,0.07
decidr.csv,0.79,0.45,0.65,0.73,0.7,0.59,0.01,0.93,0.57,0.79,0.7,0.74,0.63,0.77,0.82,0.74,0.41,0.67
doomlegacy.csv,0.46,0.74,0.53,0.53,0.62,0.77,0.57,0.64,0.54,0.56,0.75,0.52,0.52,0.63,0.01,0.6,0.61,0.54
elmo.csv,0.96,0.2,1.0,0.87,0.99,1.01,0.92,0.99,0.97,1.0,0.91,0.89,0.94,1.01,0.97,0.95,1.0,0.97
gpac.csv,0.53,0.92,0.61,0.57,0.61,0.54,0.72,0.02,0.58,0.77,0.69,0.64,0.53,0.65,0.69,0.7,0.55,0.45
illumination.csv,0.78,0.56,0.84,0.97,0.76,0.74,0.85,0.88,0.74,0.78,0.66,0.75,0.83,0.73,0.67,0.0,0.46,0.68
img-browse-sort.csv,0.56,0.47,0.9,0.56,0.63,0.75,0.61,0.58,0.68,0.74,0.58,0.65,0.64,0.08,0.83,0.98,0.89,0.62
ktc.csv,0.03,1.02,0.56,0.72,0.54,0.73,0.64,0.81,0.69,0.65,0.64,0.61,0.56,0.64,0.67,0.61,0.77,0.64
neoengine.csv,0.63,0.99,0.01,0.95,0.57,0.85,0.64,0.76,0.65,0.56,0.77,0.83,0.74,0.7,0.79,0.78,0.8,0.85
nicepress.csv,0.76,1.0,0.59,0.89,0.61,0.0,0.79,0.65,0.8,1.0,0.66,0.58,0.5,0.86,0.81,0.58,0.75,0.64
omseek.csv,0.98,1.0,0.97,0.89,0.87,0.68,0.81,0.86,0.93,0.72,0.76,0.12,0.81,0.7,0.94,0.89,0.82,0.97
pi-qmc.csv,0.61,0.6,0.62,0.79,0.55,0.61,0.69,0.65,0.6,0.6,0.52,0.68,0.41,0.76,0.71,0.46,0.0,0.81
rosegarden.csv,0.37,0.84,0.69,0.8,0.06,0.49,0.63,0.64,0.68,0.75,0.54,0.65,0.45,0.49,0.63,0.89,0.59,0.65
sigil.csv,0.62,0.69,0.58,0.49,0.65,0.61,0.59,0.81,0.86,0.69,0.65,0.62,0.02,0.47,0.88,0.86,0.54,0.46
smarttag.csv,0.66,1.02,0.79,0.74,0.64,0.54,0.77,0.73,0.57,0.0,0.74,0.62,0.58,0.68,0.67,0.79,0.4,0.71
sylpheed-claws.csv,0.6,0.61,0.76,0.66,0.63,0.5,0.83,0.61,0.03,0.8,0.58,0.65,0.66,0.8,0.66,0.78,0.72,0.7
xemeiah.csv,0.45,0.66,0.66,0.65,0.41,0.46,0.62,0.65,0.6,0.75,0.01,0.52,0.41,0.67,0.66,0.71,0.46,0.67
zscreen.csv,0.51,0.76,0.54,0.04,0.6,0.55,0.71,0.66,0.64,0.91,0.74,0.6,0.49,0.52,0.57,0.82,0.42,0.47
