,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,sigil.csv,img-browse-sort.csv,doomlegacy.csv,illumination.csv,pi-qmc.csv,bibletime.csv
bibletime.csv,0.63,0.55,0.55,0.26,0.55,0.68,0.66,0.83,0.68,0.79,0.69,0.71,0.49,0.5,0.54,0.78,0.38,0.07
decidr.csv,0.73,0.4,0.6,0.7,0.58,0.39,0.0,0.91,0.51,0.54,0.64,0.64,0.49,0.76,0.73,0.62,0.34,0.5
doomlegacy.csv,0.36,0.43,0.32,0.19,0.54,0.33,0.35,0.51,0.27,0.54,0.31,0.43,0.14,0.55,0.0,0.37,0.16,0.29
elmo.csv,0.06,0.0,0.02,0.07,0.2,0.13,0.02,0.09,0.06,0.08,0.05,0.12,0.05,0.11,0.0,0.11,0.07,0.0
gpac.csv,0.38,0.45,0.26,0.37,0.29,0.41,0.6,0.0,0.26,0.74,0.45,0.29,0.27,0.37,0.15,0.52,0.09,0.29
illumination.csv,0.08,0.39,0.11,0.85,0.08,0.49,0.05,0.11,0.22,0.44,0.47,0.4,0.08,0.39,0.46,0.0,0.05,0.29
img-browse-sort.csv,0.08,0.25,0.03,0.15,0.2,0.28,0.2,0.4,0.21,0.36,0.21,0.24,0.38,0.0,0.15,0.28,0.52,0.14
ktc.csv,0.0,0.21,0.16,0.04,0.09,0.13,0.12,0.26,0.15,0.08,0.14,0.19,0.14,0.16,0.19,0.31,0.04,0.29
neoengine.csv,0.58,0.99,0.01,0.89,0.49,0.77,0.33,0.62,0.6,0.44,0.67,0.81,0.65,0.45,0.77,0.77,0.8,0.79
nicepress.csv,0.11,0.06,0.24,0.04,0.21,0.0,0.08,0.28,0.64,0.08,0.17,0.19,0.19,0.13,0.31,0.34,0.18,0.0
omseek.csv,0.05,0.07,0.03,0.0,0.11,0.14,0.08,0.06,0.0,0.44,0.14,0.0,0.03,0.11,0.12,0.11,0.05,0.29
pi-qmc.csv,0.39,0.6,0.56,0.59,0.19,0.3,0.3,0.62,0.51,0.18,0.41,0.53,0.05,0.66,0.62,0.29,0.0,0.5
rosegarden.csv,0.12,0.25,0.56,0.59,0.01,0.26,0.25,0.3,0.21,0.38,0.29,0.54,0.27,0.16,0.5,0.34,0.05,0.14
sigil.csv,0.33,0.34,0.2,0.11,0.22,0.3,0.41,0.13,0.04,0.69,0.51,0.24,0.0,0.26,0.15,0.4,0.21,0.21
smarttag.csv,0.24,0.18,0.78,0.3,0.16,0.26,0.26,0.4,0.3,0.0,0.24,0.3,0.3,0.29,0.42,0.35,0.16,0.14
sylpheed-claws.csv,0.44,0.46,0.73,0.56,0.42,0.39,0.82,0.45,0.02,0.74,0.45,0.6,0.32,0.79,0.58,0.69,0.64,0.64
xemeiah.csv,0.19,0.28,0.6,0.22,0.22,0.36,0.23,0.49,0.56,0.56,0.0,0.19,0.19,0.39,0.31,0.29,0.04,0.14
zscreen.csv,0.48,0.46,0.44,0.04,0.55,0.54,0.65,0.6,0.21,0.9,0.71,0.54,0.49,0.24,0.42,0.63,0.32,0.43
