,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,primefaces.csv,web-cat.csv
cleartk.csv,0.62,0.71,0.61,0.17,0.73,0.68,0.59,0.94,0.77,0.81,0.48,0.68,0.74,0.86
encog-cs.csv,0.85,0.59,0.93,1.02,0.88,0.89,1.02,0.91,0.41,0.84,0.92,0.89,1.0,0.67
extprosys.csv,0.62,1.03,0.57,0.59,0.88,0.76,0.8,0.96,0.86,1.0,0.5,0.78,0.77,0.76
intact.csv,0.51,0.87,0.7,0.55,0.7,0.47,0.72,0.68,0.56,0.97,0.58,0.87,0.89,0.8
japano.csv,1.29,1.0,0.75,0.94,0.75,0.85,1.0,0.41,0.96,0.87,0.96,0.9,0.97,0.7
lockss.csv,0.21,0.67,0.81,0.93,0.7,0.88,0.72,0.73,0.84,0.57,0.45,0.85,0.9,0.56
officefloor.csv,0.49,0.8,0.78,0.64,0.76,0.79,0.97,0.88,0.72,0.81,0.43,0.95,0.95,0.83
opennms.csv,0.55,0.89,0.98,0.95,0.46,0.93,0.74,0.94,0.72,0.72,0.82,0.88,0.93,1.0
primefaces.csv,0.65,0.92,1.0,0.62,0.78,0.86,0.79,0.9,0.97,0.94,0.98,0.84,0.33,0.81
rohxel.csv,0.37,0.54,0.74,0.87,0.9,0.74,0.36,0.9,0.83,0.82,0.86,0.74,0.65,0.9
roolo.csv,0.78,0.7,0.94,0.89,0.84,0.86,0.69,0.74,0.89,0.81,0.92,0.31,0.91,0.76
sevenupdate.csv,1.0,0.24,1.0,1.0,0.96,1.0,1.0,1.0,0.94,0.77,1.0,1.0,1.0,1.0
web-cat.csv,1.05,0.76,1.0,0.79,0.8,0.58,0.8,0.82,0.86,0.87,0.84,0.82,0.73,0.35
