,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,primefaces.csv,web-cat.csv
cleartk.csv,0.75,0.6,0.56,0.86,0.49,0.46,0.56,0.33,0.55,0.54,0.67,0.66,0.32,0.38
encog-cs.csv,0.47,0.64,0.33,0.0,0.41,0.37,0.0,0.36,0.71,0.26,0.33,0.41,0.0,0.63
extprosys.csv,0.75,0.0,0.54,0.72,0.41,0.51,0.42,0.33,0.43,0.0,0.71,0.48,0.32,0.36
intact.csv,0.83,0.45,0.48,0.56,0.61,0.64,0.32,0.44,0.61,0.13,0.74,0.28,0.25,0.3
japano.csv,0.0,0.0,0.58,0.26,0.6,0.47,0.0,0.74,0.17,0.44,0.23,0.37,0.17,0.61
lockss.csv,0.95,0.38,0.23,0.09,0.4,0.16,0.35,0.44,0.2,0.57,0.68,0.23,0.12,0.56
officefloor.csv,0.84,0.24,0.3,0.47,0.29,0.27,0.04,0.4,0.37,0.27,0.67,0.06,0.06,0.44
opennms.csv,0.8,0.3,0.02,0.06,0.63,0.09,0.35,0.07,0.33,0.36,0.21,0.18,0.1,0.0
primefaces.csv,0.73,0.4,0.0,0.61,0.54,0.44,0.53,0.36,0.13,0.27,0.09,0.49,0.79,0.51
rohxel.csv,0.89,0.59,0.54,0.18,0.13,0.31,0.76,0.12,0.2,0.21,0.21,0.39,0.63,0.13
roolo.csv,0.59,0.62,0.24,0.4,0.47,0.44,0.5,0.49,0.38,0.49,0.3,0.79,0.36,0.58
sevenupdate.csv,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.24,0.54,0.0,0.0,0.0,0.0
web-cat.csv,0.0,0.28,0.0,0.37,0.41,0.58,0.32,0.3,0.46,0.26,0.38,0.33,0.32,0.75
