,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,pcsx2.csv,lufa-lib.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,wikipediardware.csv
cortex-vfx.csv,0.76,0.98,0.77,0.68,0.97,0.59,0.58,1.0,0.79,0.72,0.74
empserver.csv,0.63,0.79,0.92,0.71,0.39,0.59,0.67,0.77,0.74,0.65,0.76
enlightenment.csv,1.0,1.0,1.0,0.55,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ffigo.csv,0.68,0.56,0.84,0.96,0.94,0.81,0.94,1.01,0.73,0.49,0.97
ildjit.csv,0.94,0.45,0.99,0.96,0.92,0.98,0.99,1.02,0.97,0.96,0.98
jfreereport.csv,0.9,1.0,0.93,0.66,0.89,0.91,0.77,1.0,0.96,0.74,0.71
lufa-lib.csv,0.81,0.68,0.66,0.64,0.87,0.7,0.42,0.79,0.74,0.57,0.65
pcsx2.csv,0.52,0.84,0.6,0.69,0.8,0.5,0.86,0.9,0.99,0.77,0.66
psycle.csv,0.52,0.84,0.82,0.74,0.67,0.79,0.88,0.9,0.98,0.6,0.65
wikipediardware.csv,0.55,0.9,1.0,0.79,0.97,0.85,1.0,0.92,0.97,0.83,0.34
wxjs.csv,0.97,1.0,0.97,0.96,0.98,0.94,0.99,0.38,1.0,0.94,0.97
