,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,ardour.csv,netatalk.csv,pixel-commandos.csv,xmoto.csv
ardour.csv,0.77,0.7,0.71,0.71,0.45,0.27,0.44,0.68,0.48,0.69,0.56,0.26,0.64,0.73,0.68,0.74,0.68,0.72,0.76,0.58
cornerstone.csv,0.57,0.35,0.44,0.47,0.26,0.31,0.09,0.32,0.04,0.04,0.7,0.6,0.35,0.46,0.1,0.67,0.52,0.47,0.55,0.26
emeraldemu.csv,0.73,0.6,0.71,0.51,0.21,0.19,0.45,0.73,0.34,0.62,0.57,0.09,0.26,0.02,0.55,0.11,0.53,0.09,0.55,0.41
grafx2.csv,0.81,0.72,0.68,0.76,0.34,0.38,0.62,0.71,0.52,0.71,0.59,0.72,0.62,0.78,0.67,0.79,0.64,0.72,0.76,0.63
jahshakafx.csv,0.8,0.7,0.75,0.66,0.37,0.3,0.51,0.74,0.55,0.55,0.62,0.23,0.61,0.52,0.65,0.74,0.68,0.74,0.92,0.57
kindb.csv,0.83,0.63,0.8,0.69,0.59,0.5,0.67,0.74,0.65,0.74,0.46,0.49,0.71,0.4,0.61,0.86,0.71,0.25,0.86,0.66
maya-work-in-progress.csv,0.67,0.72,0.69,0.65,0.62,0.63,0.65,0.67,0.6,0.82,0.33,0.71,0.6,0.59,0.39,0.75,0.6,0.61,0.54,0.67
netatalk.csv,0.77,0.54,0.4,0.36,0.42,0.52,0.64,0.63,0.59,0.7,0.47,0.34,0.71,0.69,0.63,0.7,0.48,0.65,0.62,0.63
novembre.csv,0.78,0.66,0.57,0.41,0.24,0.42,0.63,0.65,0.59,0.49,0.54,0.26,0.29,0.38,0.61,0.33,0.69,0.4,0.96,0.58
ns-3.csv,0.64,0.69,0.41,0.6,0.48,0.64,0.4,0.49,0.51,0.58,0.59,0.27,0.63,0.2,0.56,0.24,0.58,0.37,0.37,0.63
nullc.csv,0.69,0.09,0.0,0.21,0.71,0.49,0.68,0.64,0.57,0.36,0.6,0.42,0.62,0.72,0.64,0.69,0.59,0.44,0.73,0.53
open-beos.csv,0.85,0.76,0.72,0.69,0.48,0.5,0.63,0.69,0.64,0.52,0.39,0.4,0.65,0.51,0.73,0.41,0.7,0.61,0.83,0.62
pixel-commandos.csv,0.05,0.54,0.28,0.48,0.22,0.19,0.45,0.25,0.18,0.11,0.07,0.0,0.19,0.4,0.47,0.37,0.4,0.33,0.99,0.26
planeshift.csv,0.09,0.47,0.17,0.05,0.46,0.61,0.6,0.71,0.6,0.73,0.56,0.51,0.7,0.72,0.64,0.61,0.17,0.61,0.64,0.52
plee-the-bear.csv,0.79,0.47,0.79,0.05,0.47,0.57,0.53,0.52,0.63,0.66,0.52,0.59,0.56,0.62,0.56,0.57,0.57,0.53,0.8,0.52
reaper-ecad.csv,0.58,0.39,0.53,0.72,0.35,0.05,0.16,0.45,0.22,0.04,0.31,0.0,0.39,0.02,0.41,0.28,0.55,0.17,0.29,0.26
sbml.csv,0.76,0.74,0.67,0.72,0.5,0.59,0.4,0.52,0.7,0.37,0.72,0.45,0.63,0.74,0.72,0.41,0.7,0.57,0.57,0.58
unimrcp.csv,0.71,0.68,0.65,0.78,0.51,0.46,0.67,0.59,0.43,0.69,0.35,0.69,0.62,0.56,0.54,0.72,0.68,0.54,0.54,0.57
unladen-swallow.csv,0.21,0.46,0.49,0.05,0.19,0.37,0.48,0.43,0.44,0.55,0.33,0.67,0.38,0.47,0.2,0.48,0.51,0.69,0.52,0.2
xmoto.csv,0.7,0.62,0.58,0.15,0.57,0.56,0.69,0.63,0.56,0.6,0.59,0.34,0.48,0.47,0.65,0.79,0.69,0.13,0.71,0.72
