,umber.csv,ivatamasks.csv,jaxen.csv,tcl.csv,cuberok.csv,ivataopenportal.csv,rodin-b-sharp.csv,gwanted.csv,exist.csv,wheat.csv,google-web-toolkit.csv,codepurge.csv,rockbox.csv
codepurge.csv,0.47,0.46,0.8,0.74,0.59,0.41,0.42,0.25,0.74,0.36,0.46,0.62,0.53
cuberok.csv,0.05,0.64,0.8,0.26,0.64,0.16,0.24,0.39,0.63,0.39,0.65,0.79,0.63
exist.csv,1.0,0.9,0.8,0.85,1.0,0.98,0.99,1.0,0.78,0.82,0.84,1.0,1.0
google-web-toolkit.csv,1.0,0.9,0.6,0.21,0.36,0.73,0.25,0.5,0.36,0.18,0.69,0.12,0.26
gwanted.csv,0.68,0.48,0.6,0.49,0.5,0.31,0.24,0.71,0.26,0.29,0.71,0.38,0.47
ivatamasks.csv,0.95,0.71,1.0,0.33,0.86,0.83,0.44,0.68,0.54,0.82,0.56,0.67,0.47
ivataopenportal.csv,0.89,0.74,1.0,0.95,1.0,0.73,0.82,0.75,0.9,1.0,0.72,1.0,1.0
jaxen.csv,0.89,0.35,1.0,0.97,0.82,0.85,0.65,0.93,0.74,0.68,0.73,0.75,0.53
rockbox.csv,0.84,0.21,0.8,0.33,0.59,0.15,0.18,0.57,0.33,0.75,0.46,0.75,0.79
rodin-b-sharp.csv,0.53,0.28,0.0,0.97,0.32,0.14,0.83,0.46,0.41,0.39,0.23,0.58,0.37
tcl.csv,0.16,0.71,0.2,0.77,0.45,0.97,0.74,0.71,0.18,0.36,0.27,0.21,0.16
umber.csv,0.89,0.88,0.8,0.95,0.68,0.4,0.97,0.75,0.88,1.0,0.8,0.88,0.95
wheat.csv,0.58,0.13,0.2,0.0,0.5,0.2,0.45,0.14,0.92,0.68,0.39,0.58,0.84
