,umber.csv,ivatamasks.csv,jaxen.csv,tcl.csv,cuberok.csv,ivataopenportal.csv,rodin-b-sharp.csv,gwanted.csv,exist.csv,wheat.csv,google-web-toolkit.csv,codepurge.csv,rockbox.csv
codepurge.csv,0.26,0.9,0.1,0.55,0.41,0.61,0.39,0.22,0.63,0.62,0.6,0.32,0.56
cuberok.csv,0.03,0.7,0.05,0.45,0.56,0.58,0.29,0.2,0.58,0.42,0.64,0.15,0.38
exist.csv,0.26,0.7,0.05,0.48,0.42,0.51,0.36,0.17,0.81,0.53,0.57,0.15,0.46
google-web-toolkit.csv,0.27,0.68,0.07,0.67,0.36,0.51,0.25,0.31,0.65,0.45,0.7,0.33,0.5
gwanted.csv,0.35,0.82,0.09,0.56,0.48,0.62,0.37,0.43,0.85,0.8,0.66,0.26,0.69
ivatamasks.csv,0.26,0.84,0.08,0.59,0.41,0.55,0.26,0.3,0.61,0.52,0.63,0.15,0.53
ivataopenportal.csv,0.29,0.72,0.08,0.49,0.39,0.72,0.37,0.17,0.64,0.56,0.58,0.14,0.37
jaxen.csv,0.27,0.71,0.38,0.54,0.35,0.5,0.33,0.2,0.61,0.68,0.6,0.12,0.4
rockbox.csv,0.52,0.88,0.14,0.59,0.43,0.74,0.18,0.18,0.71,0.54,0.62,0.22,0.56
rodin-b-sharp.csv,1.0,0.59,0.0,0.51,0.33,0.56,0.76,0.13,0.65,0.58,0.55,0.15,0.35
tcl.csv,0.08,0.61,0.33,0.64,0.28,0.51,0.44,0.19,0.61,0.53,0.59,0.15,0.23
umber.csv,0.74,0.76,0.07,0.49,0.33,0.6,0.38,0.15,0.59,0.55,0.57,0.14,0.4
wheat.csv,0.3,0.76,0.06,0.0,0.46,0.55,0.35,0.09,0.58,0.7,0.54,0.2,0.52
