,umber.csv,ivatamasks.csv,jaxen.csv,tcl.csv,cuberok.csv,ivataopenportal.csv,rodin-b-sharp.csv,gwanted.csv,exist.csv,wheat.csv,google-web-toolkit.csv,codepurge.csv,rockbox.csv
codepurge.csv,0.48,0.51,0.74,0.63,0.56,0.45,0.45,0.29,0.65,0.4,0.48,0.65,0.56
cuberok.csv,0.06,0.58,0.35,0.3,0.65,0.19,0.27,0.43,0.57,0.39,0.61,0.56,0.56
exist.csv,0.0,0.54,0.26,0.34,0.38,0.05,0.05,0.05,0.78,0.46,0.36,0.27,0.69
google-web-toolkit.csv,0.27,0.41,0.58,0.25,0.39,0.54,0.28,0.54,0.4,0.21,0.67,0.15,0.3
gwanted.csv,0.65,0.52,0.6,0.51,0.53,0.35,0.28,0.73,0.3,0.34,0.65,0.43,0.52
ivatamasks.csv,0.33,0.71,0.71,0.37,0.56,0.6,0.4,0.68,0.54,0.38,0.56,0.58,0.51
ivataopenportal.csv,0.58,0.62,0.66,0.09,0.0,0.72,0.51,0.54,0.66,0.3,0.54,0.0,0.0
jaxen.csv,0.5,0.39,0.98,0.55,0.23,0.34,0.48,0.57,0.63,0.67,0.57,0.37,0.53
rockbox.csv,0.82,0.25,0.78,0.37,0.57,0.18,0.21,0.54,0.37,0.54,0.48,0.71,0.75
rodin-b-sharp.csv,0.58,0.31,0.0,0.3,0.35,0.17,0.83,0.44,0.45,0.43,0.27,0.55,0.4
tcl.csv,0.18,0.16,0.24,0.72,0.39,0.13,0.66,0.6,0.21,0.39,0.31,0.25,0.19
umber.csv,0.89,0.73,0.62,0.09,0.38,0.44,0.38,0.38,0.5,0.17,0.43,0.37,0.48
wheat.csv,0.57,0.16,0.24,0.0,0.52,0.24,0.46,0.17,0.39,0.68,0.41,0.59,0.75
