,umber.csv,ivatamasks.csv,jaxen.csv,tcl.csv,cuberok.csv,ivataopenportal.csv,rodin-b-sharp.csv,gwanted.csv,exist.csv,wheat.csv,google-web-toolkit.csv,codepurge.csv,rockbox.csv
codepurge.csv,0.0,3.0,24.0,1.0,5.0,0.0,2.0,1.0,5.0,1.0,1.0,5.0,3.0
cuberok.csv,25.0,2.0,62.0,0.0,1.0,0.0,14.0,6.0,6.0,3.0,3.0,27.0,10.0
exist.csv,4.0,1.0,64.0,0.0,2.0,0.0,1.0,23.0,0.0,0.0,7.0,21.0,5.0
google-web-toolkit.csv,3.0,2.0,37.0,1.0,6.0,0.0,0.0,7.0,3.0,5.0,2.0,2.0,2.0
gwanted.csv,0.0,5.0,27.0,2.0,1.0,0.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0
ivatamasks.csv,11.0,1.0,43.0,0.0,2.0,0.0,27.0,2.0,3.0,0.0,2.0,24.0,0.0
ivataopenportal.csv,28.0,1.0,47.0,0.0,4.0,0.0,0.0,11.0,9.0,0.0,1.0,24.0,15.0
jaxen.csv,11.0,0.0,4.0,0.0,3.0,0.0,1.0,17.0,8.0,0.0,5.0,24.0,8.0
rockbox.csv,7.0,1.0,15.0,0.0,3.0,0.0,31.0,26.0,1.0,1.0,2.0,6.0,1.0
rodin-b-sharp.csv,0.0,1.0,86.0,0.0,3.0,2.0,1.0,16.0,4.0,0.0,0.0,13.0,6.0
tcl.csv,3.0,2.0,2.0,0.0,6.0,0.0,1.0,20.0,6.0,0.0,5.0,11.0,9.0
umber.csv,1.0,1.0,48.0,0.0,4.0,1.0,1.0,20.0,9.0,0.0,2.0,18.0,13.0
wheat.csv,1.0,0.0,11.0,78.0,3.0,4.0,1.0,6.0,9.0,0.0,0.0,9.0,4.0
