,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jgnash.csv,jbasic.csv,apertium.csv,yarp0.csv,exist.csv,mp-rechnungs-und-kundenverwaltung.csv,wheat.csv,ingex.csv,power-architect.csv,javaprofiler.csv
apertium.csv,0.41,0.31,0.38,0.26,0.51,0.44,0.48,0.09,0.21,0.67,0.75,0.08,0.33,0.48,0.22,0.17,0.58,0.16
beast-mcmc.csv,0.62,0.54,0.6,0.4,0.62,0.53,0.63,0.46,0.31,0.64,0.41,0.38,0.71,0.5,0.67,0.54,0.77,0.58
cuberok.csv,0.49,0.47,0.35,0.3,0.45,0.57,0.5,0.64,0.32,0.44,0.42,0.36,0.69,0.31,0.47,0.31,0.64,0.38
exist.csv,0.47,0.52,0.52,0.42,0.51,0.57,0.65,0.49,0.27,0.64,0.3,0.52,0.77,0.42,0.67,0.55,0.61,0.74
ingex.csv,0.47,0.34,0.52,0.27,0.73,0.52,0.61,0.26,0.29,0.65,0.4,0.39,0.4,0.45,0.55,0.51,0.6,0.52
javaprofiler.csv,0.49,0.51,0.63,0.32,0.68,0.63,0.64,0.56,0.25,0.54,0.37,0.46,0.72,0.44,0.58,0.5,0.53,0.81
jbasic.csv,0.46,0.49,0.5,0.31,0.79,0.56,0.65,0.48,0.29,0.72,0.47,0.43,0.73,0.48,0.17,0.52,0.86,0.61
jgnash.csv,0.39,0.54,0.56,0.45,0.69,0.42,0.57,0.46,0.45,0.35,0.25,0.45,0.52,0.41,0.64,0.49,0.37,0.55
jrefactory.csv,0.39,0.36,0.7,0.24,0.42,0.23,0.34,0.44,0.16,0.5,0.42,0.38,0.11,0.31,0.52,0.53,0.14,0.78
jsecurity.csv,0.3,0.55,0.32,0.48,0.24,0.55,0.41,0.24,0.28,0.16,0.32,0.25,0.66,0.43,0.38,0.43,0.35,0.36
libopenmetaverse.csv,0.42,0.5,0.72,0.32,0.79,0.6,0.67,0.49,0.26,0.66,0.51,0.48,0.51,0.47,0.7,0.52,0.81,0.81
mobicents.csv,0.51,0.54,0.49,0.36,0.67,0.49,0.7,0.57,0.34,0.7,0.45,0.36,0.75,0.53,0.66,0.52,0.65,0.46
mp-rechnungs-und-kundenverwaltung.csv,0.4,0.43,0.54,0.28,0.56,0.27,0.56,0.52,0.15,0.66,0.61,0.32,0.22,0.57,0.13,0.57,0.44,0.79
openefm.csv,0.4,0.63,0.35,0.36,0.41,0.52,0.64,0.4,0.27,0.06,0.54,0.06,0.67,0.39,0.64,0.43,0.46,0.48
power-architect.csv,0.42,0.49,0.69,0.38,0.62,0.64,0.61,0.56,0.22,0.36,0.4,0.46,0.71,0.52,0.72,0.39,0.87,0.7
sidekar.csv,0.0,0.39,0.0,0.0,0.83,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62
wheat.csv,0.35,0.38,0.19,0.26,0.38,0.45,0.42,0.44,0.26,0.06,0.34,0.28,0.72,0.31,0.73,0.58,0.68,0.3
yarp0.csv,0.35,0.42,0.51,0.33,0.66,0.6,0.55,0.42,0.28,0.6,0.64,0.5,0.61,0.5,0.62,0.54,0.66,0.56
