,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jgnash.csv,jbasic.csv,apertium.csv,yarp0.csv,exist.csv,mp-rechnungs-und-kundenverwaltung.csv,wheat.csv,ingex.csv,power-architect.csv,javaprofiler.csv
apertium.csv,0.58,0.25,0.33,0.27,0.43,0.44,0.43,0.06,0.48,0.68,0.84,0.07,0.25,0.62,0.17,0.12,0.45,0.11
beast-mcmc.csv,0.74,0.65,0.51,0.66,0.56,0.52,0.63,0.53,0.67,0.64,0.55,0.52,0.47,0.6,0.65,0.63,0.63,0.49
cuberok.csv,0.58,0.6,0.3,0.51,0.37,0.44,0.5,0.71,0.67,0.37,0.53,0.45,0.32,0.39,0.45,0.36,0.53,0.29
exist.csv,0.67,0.48,0.4,0.7,0.43,0.54,0.5,0.57,0.44,0.66,0.41,0.69,0.76,0.56,0.62,0.53,0.51,0.53
ingex.csv,0.66,0.37,0.48,0.44,0.67,0.52,0.59,0.26,0.65,0.37,0.5,0.42,0.36,0.58,0.48,0.52,0.46,0.45
javaprofiler.csv,0.67,0.64,0.35,0.17,0.6,0.63,0.53,0.62,0.42,0.52,0.45,0.13,0.0,0.58,0.56,0.23,0.43,0.76
jbasic.csv,0.63,0.62,0.38,0.57,0.67,0.53,0.55,0.56,0.63,0.75,0.27,0.58,0.27,0.47,0.13,0.58,0.0,0.53
jgnash.csv,0.56,0.66,0.51,0.76,0.62,0.37,0.57,0.54,0.7,0.29,0.24,0.6,0.46,0.47,0.57,0.59,0.28,0.45
jrefactory.csv,0.53,0.47,0.68,0.42,0.37,0.17,0.32,0.5,0.41,0.51,0.2,0.52,0.07,0.36,0.5,0.63,0.09,0.51
jsecurity.csv,0.31,0.53,0.28,0.66,0.17,0.54,0.33,0.26,0.54,0.12,0.32,0.23,0.63,0.54,0.29,0.42,0.26,0.29
libopenmetaverse.csv,0.0,0.05,0.13,0.0,0.3,0.58,0.0,0.41,0.05,0.0,0.63,0.48,0.48,0.05,0.0,0.35,0.26,0.0
mobicents.csv,0.72,0.67,0.45,0.5,0.58,0.39,0.69,0.59,0.64,0.68,0.51,0.45,0.62,0.69,0.65,0.42,0.53,0.39
mp-rechnungs-und-kundenverwaltung.csv,0.46,0.48,0.5,0.54,0.49,0.2,0.54,0.53,0.23,0.13,0.8,0.23,0.15,0.66,0.09,0.63,0.34,0.67
openefm.csv,0.58,0.69,0.32,0.65,0.32,0.48,0.52,0.44,0.56,0.04,0.65,0.07,0.6,0.5,0.62,0.48,0.35,0.41
power-architect.csv,0.6,0.62,0.52,0.68,0.56,0.32,0.57,0.13,0.52,0.35,0.48,0.13,0.21,0.65,0.3,0.41,0.81,0.4
sidekar.csv,0.0,0.37,0.0,0.0,0.79,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55
wheat.csv,0.42,0.45,0.17,0.35,0.31,0.44,0.4,0.45,0.56,0.04,0.45,0.29,0.62,0.39,0.71,0.67,0.57,0.23
yarp0.csv,0.43,0.54,0.48,0.52,0.6,0.52,0.53,0.45,0.36,0.23,0.83,0.58,0.57,0.55,0.61,0.63,0.43,0.48
