,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,elateportal.csv,factor.csv
elateportal.csv,0.26,0.57,0.28,0.33,0.41,0.69,0.68,0.37,0.27,0.57,0.95,0.04
factor.csv,0.11,0.39,0.18,0.13,0.39,0.4,0.29,0.11,0.31,0.15,0.93,0.93
fceugc.csv,0.26,0.49,0.26,0.56,0.45,0.28,0.59,0.16,0.04,0.04,0.04,0.8
flexpay.csv,0.0,0.0,0.02,0.0,0.0,0.19,0.0,0.31,0.0,0.0,0.0,0.0
jstock.csv,0.04,0.55,0.23,0.32,0.22,0.36,0.42,0.61,0.06,0.25,0.0,0.55
keyczar.csv,0.22,0.35,0.19,0.36,0.23,0.15,0.29,0.11,0.25,0.89,0.93,0.25
modellus.csv,0.22,0.62,0.29,0.3,0.63,0.78,0.78,0.43,0.36,0.3,0.09,0.09
open-data-kit.csv,0.33,0.65,0.28,0.5,0.67,0.68,0.85,0.53,0.29,0.65,0.9,0.8
phet.csv,0.33,0.44,0.08,0.24,0.11,0.14,0.41,0.36,0.15,0.83,0.88,0.56
qtractor.csv,0.2,0.73,0.33,0.42,0.58,0.65,0.57,0.35,0.28,0.22,0.24,0.08
sumatrapdf.csv,0.35,0.72,0.3,0.53,0.75,0.71,0.77,0.51,0.32,0.74,0.12,0.8
synergyspace.csv,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0
