,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,elateportal.csv,factor.csv
elateportal.csv,0.19,0.51,0.18,0.32,0.41,0.59,0.7,0.24,0.2,0.72,0.98,0.17
factor.csv,0.24,0.62,0.14,0.2,0.8,0.55,0.7,0.2,0.21,0.8,0.98,0.91
fceugc.csv,0.25,0.77,0.22,0.61,0.77,0.46,0.77,0.17,0.04,0.33,1.0,0.88
flexpay.csv,0.0,0.0,0.5,0.0,0.0,0.82,0.0,0.31,0.0,0.0,0.0,0.0
jstock.csv,0.06,0.68,0.2,0.5,0.8,0.8,0.91,0.7,0.11,0.88,0.0,0.94
keyczar.csv,0.19,0.39,0.16,0.35,0.19,0.23,0.54,0.09,0.19,0.85,0.95,0.44
modellus.csv,0.17,0.82,0.2,0.67,0.8,0.77,0.79,0.5,0.31,0.75,1.0,1.0
open-data-kit.csv,0.21,0.55,0.17,0.33,0.59,0.53,0.84,0.36,0.18,0.92,0.89,0.67
phet.csv,0.68,0.44,0.13,0.21,0.1,0.2,0.47,0.27,0.11,0.76,0.9,0.65
qtractor.csv,0.15,0.74,0.26,0.47,0.58,0.73,0.76,0.29,0.23,1.0,0.86,0.29
sumatrapdf.csv,0.22,0.64,0.18,0.36,0.77,0.59,0.65,0.34,0.2,0.8,0.5,0.7
synergyspace.csv,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
