,opensim4opencog.csv,bnetd.csv,moving-pictures.csv,irplus.csv,xcmetadataservicestoolkit.csv,carabiner.csv,gnome-jabber.csv,gmerlin.csv,fleet-simulator.csv,ipfilter.csv,mevenide.csv,ta3d.csv,elvishrayrenderer.csv,rockbox.csv
bnetd.csv,0.23,0.73,0.55,0.56,0.85,0.27,0.44,0.47,0.78,0.73,0.4,0.65,0.7,0.61
carabiner.csv,0.27,0.66,0.62,0.55,0.83,0.65,0.59,0.5,0.77,0.59,0.51,0.52,0.62,0.67
elvishrayrenderer.csv,0.19,0.43,0.53,0.46,0.66,0.47,0.97,0.21,0.5,0.52,0.28,0.6,0.79,0.25
fleet-simulator.csv,0.22,0.7,0.64,0.53,0.75,0.47,0.97,0.49,0.99,0.83,0.3,0.82,0.8,0.52
gmerlin.csv,0.0,0.62,0.66,0.51,0.79,0.51,0.6,0.57,0.87,0.59,0.42,0.77,0.71,0.58
gnome-jabber.csv,0.24,0.58,0.67,0.49,0.69,0.12,0.75,0.46,0.8,0.81,0.38,0.65,0.69,0.57
ipfilter.csv,0.27,0.36,0.57,0.48,0.75,0.48,0.96,0.45,0.81,0.97,0.39,0.7,0.77,0.33
irplus.csv,0.29,0.44,0.52,0.58,0.53,0.39,0.5,0.51,0.62,0.59,0.36,0.61,0.66,0.68
mevenide.csv,0.06,0.1,0.18,0.07,0.35,0.22,0.06,0.11,0.23,0.3,0.72,0.38,0.29,0.32
moving-pictures.csv,0.17,0.58,0.6,0.47,0.71,0.21,0.58,0.25,0.37,0.66,0.25,0.61,0.54,0.72
opensim4opencog.csv,0.32,0.62,0.59,0.51,0.58,0.29,0.52,0.52,0.77,0.54,0.46,0.56,0.6,0.58
rockbox.csv,0.12,0.46,0.52,0.41,0.17,0.33,0.44,0.37,0.49,0.28,0.41,0.45,0.47,0.67
ta3d.csv,0.07,0.0,0.07,0.32,0.42,0.28,0.4,0.0,0.46,0.54,0.33,0.71,0.11,0.0
xcmetadataservicestoolkit.csv,0.21,0.14,0.51,0.46,0.83,0.46,0.97,0.37,0.79,0.88,0.27,0.81,0.7,0.0
