,pokeglobal.csv,jhotdraw.csv,unflobtactical.csv,cascading.csv
cascading.csv,0.31,0.47,0.31,0.36
jhotdraw.csv,0.97,0.15,0.23,0.67
pokeglobal.csv,0.28,0.62,0.5,0.24
unflobtactical.csv,0.62,0.57,0.27,0.36
