,pokeglobal.csv,jhotdraw.csv,unflobtactical.csv,cascading.csv
cascading.csv,0.43,0.57,0.57,0.5
jhotdraw.csv,0.97,0.46,0.78,0.7
pokeglobal.csv,0.42,0.8,0.87,0.65
unflobtactical.csv,0.7,0.63,0.37,0.59
