,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,mia.csv,jaolt.csv,mp-rechnungs-und-kundenverwaltung.csv,ardour.csv,kmess.csv,pixel-commandos.csv,xmoto.csv,buddata-ebxml-registry.csv,zxing.csv
ardour.csv,0.63,0.79,0.67,0.88,0.2,0.21,0.6,0.63,0.42,0.25,0.49,0.67,0.48,0.6,0.99,0.37,0.75,0.56,0.3,0.36
buddata-ebxml-registry.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.98
cornerstone.csv,0.65,0.77,0.91,0.71,0.3,0.69,0.53,0.59,0.48,0.31,0.92,0.78,0.44,0.55,0.81,0.61,0.75,0.56,0.22,0.2
emeraldemu.csv,0.77,0.49,0.39,0.25,0.22,0.3,0.33,0.94,0.27,0.25,0.71,0.33,0.41,0.53,0.45,0.35,0.75,0.47,0.31,0.54
jahshakafx.csv,0.97,0.49,0.55,0.08,0.2,0.18,0.2,0.46,0.29,0.38,0.31,0.5,0.38,0.26,0.4,0.31,0.25,0.36,0.19,0.32
jaolt.csv,0.7,0.92,0.88,0.96,0.28,0.42,0.8,0.7,0.64,0.59,0.31,0.89,0.97,0.79,0.82,0.78,1.0,0.58,0.39,0.8
kmess.csv,0.64,0.7,0.88,0.79,0.7,0.46,0.4,0.61,0.72,0.47,0.55,0.67,0.45,0.26,0.64,0.98,0.75,0.61,0.43,0.54
maya-work-in-progress.csv,0.93,0.73,0.91,0.71,0.72,0.66,0.87,0.78,0.76,0.97,0.92,0.78,0.84,0.94,0.84,0.69,1.0,0.78,0.76,0.88
mia.csv,0.16,0.39,0.45,0.21,0.08,0.36,0.33,0.27,0.24,0.12,0.24,0.83,0.04,0.28,0.31,0.41,0.25,0.17,0.09,0.21
mp-rechnungs-und-kundenverwaltung.csv,0.26,0.57,0.7,0.38,0.08,0.3,0.47,0.52,0.18,0.44,0.39,0.5,0.34,0.91,0.5,0.19,0.5,0.31,0.15,0.45
novembre.csv,0.36,0.42,0.48,0.29,0.3,0.14,0.93,0.41,0.33,0.25,0.31,0.5,0.14,0.26,0.39,0.27,0.5,0.42,0.1,0.27
ns-3.csv,0.88,0.72,0.85,0.58,0.32,0.99,0.73,0.76,0.65,0.59,0.35,0.72,0.86,0.51,0.94,0.71,0.25,0.58,0.46,0.52
nullc.csv,0.71,0.77,0.85,0.96,0.98,0.93,0.93,0.72,0.99,0.72,0.45,0.94,0.56,0.66,0.78,0.8,0.75,0.75,0.43,0.55
open-beos.csv,0.73,0.52,0.7,0.25,0.42,0.55,0.53,0.56,0.98,0.28,0.55,0.5,0.58,0.55,0.55,0.53,0.75,0.64,0.33,0.48
pixel-commandos.csv,0.27,0.5,0.21,0.5,0.12,0.02,0.13,0.33,0.08,0.03,0.16,0.0,0.1,0.02,0.17,0.25,1.0,0.17,0.16,0.09
plee-the-bear.csv,0.3,0.13,0.85,0.12,0.54,0.61,0.2,0.36,0.58,0.59,0.47,0.06,0.3,0.66,0.26,0.47,0.25,0.72,0.51,0.64
reaper-ecad.csv,0.35,0.01,0.55,0.92,0.52,0.59,0.47,0.31,0.36,0.5,0.35,0.28,0.23,0.02,0.34,0.52,0.5,0.42,0.27,0.46
unladen-swallow.csv,0.07,0.5,0.39,0.25,0.32,0.51,0.47,0.29,0.46,0.66,0.1,0.67,0.45,0.49,0.2,0.44,0.0,0.39,0.52,0.45
xmoto.csv,0.67,0.84,0.73,0.62,0.52,0.41,0.53,0.75,0.49,0.28,0.73,0.67,0.64,0.64,0.8,0.51,0.75,0.97,0.43,0.66
zxing.csv,0.82,0.54,0.79,0.54,0.4,0.42,0.73,0.59,0.49,0.66,0.61,0.39,0.37,0.53,0.76,0.52,1.0,0.5,0.42,0.96
