,nug.csv,rezilla.csv,badtrinity-zero.csv,fltk.csv,betoffice.csv,xmemcached.csv,exordium.csv,toped.csv,apertium.csv,gabel.csv,irrlicht.csv,zoolib.csv,genoviz.csv
apertium.csv,0.25,0.0,0.22,0.27,0.53,0.34,0.04,0.22,0.0,0.32,0.25,0.35,0.62
badtrinity-zero.csv,0.72,0.28,0.0,0.64,0.29,0.27,0.61,0.56,0.71,0.36,0.45,0.59,0.73
betoffice.csv,0.39,0.82,0.37,0.52,0.02,0.52,0.38,0.33,0.34,0.6,0.41,0.33,0.49
exordium.csv,0.03,0.02,0.09,0.04,0.31,0.5,0.0,0.33,0.26,0.42,0.06,0.06,0.42
fltk.csv,0.17,0.28,0.21,0.04,0.13,0.36,0.32,0.33,0.72,0.53,0.25,0.15,0.56
gabel.csv,0.0,0.0,0.0,0.0,0.02,0.05,0.0,0.0,0.16,0.0,0.0,0.0,0.02
genoviz.csv,0.17,0.0,0.04,0.01,0.04,0.0,0.05,0.0,0.05,0.09,0.12,0.03,0.0
irrlicht.csv,0.97,0.95,0.95,0.98,0.82,0.55,0.91,1.0,0.47,0.89,0.0,0.95,0.49
nug.csv,0.0,0.88,0.54,0.37,0.73,0.88,0.52,0.67,0.79,0.93,0.63,0.62,0.84
rezilla.csv,0.92,0.0,0.87,0.7,0.87,0.81,0.71,0.89,0.81,0.87,0.63,0.59,0.98
toped.csv,0.89,0.95,0.83,0.94,0.44,0.56,0.89,0.0,0.62,0.98,0.94,0.93,0.29
xmemcached.csv,0.11,0.12,0.48,0.23,0.29,0.0,0.3,0.56,0.5,0.42,0.24,0.75,0.51
zoolib.csv,0.0,0.02,0.12,0.04,0.13,0.03,0.14,0.11,0.22,0.14,0.24,0.01,0.0
