,nug.csv,rezilla.csv,badtrinity-zero.csv,fltk.csv,betoffice.csv,xmemcached.csv,exordium.csv,toped.csv,apertium.csv,gabel.csv,irrlicht.csv,zoolib.csv,genoviz.csv
apertium.csv,0.36,1.0,0.47,0.42,0.55,0.37,0.6,0.8,1.0,0.19,0.72,0.06,0.15
badtrinity-zero.csv,0.32,0.35,1.0,0.63,0.28,0.43,0.31,0.88,0.27,0.2,0.82,0.11,0.11
betoffice.csv,0.36,0.27,0.45,0.6,0.98,0.21,0.28,0.67,0.35,0.05,0.82,0.06,0.12
exordium.csv,0.8,0.0,0.63,0.86,0.55,0.27,1.0,0.88,0.35,0.11,0.9,0.19,0.17
fltk.csv,0.4,0.21,0.65,0.97,0.33,0.39,0.44,0.92,0.21,0.14,0.85,0.25,0.14
gabel.csv,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.5
genoviz.csv,0.33,1.0,0.84,0.96,0.33,1.0,0.67,1.0,0.4,0.11,0.71,0.25,1.0
irrlicht.csv,0.33,0.3,0.49,0.57,0.54,0.29,0.27,0.84,0.27,0.09,1.0,0.09,0.15
nug.csv,1.0,0.29,0.47,0.63,0.51,0.24,0.33,0.8,0.27,0.09,0.78,0.1,0.12
rezilla.csv,0.3,1.0,0.5,0.58,0.48,0.3,0.27,0.86,0.31,0.08,0.79,0.07,0.1
toped.csv,0.32,0.31,0.49,0.57,0.57,0.18,0.28,1.0,0.05,0.08,0.77,0.08,0.13
xmemcached.csv,0.56,0.38,0.45,0.71,0.46,1.0,0.32,0.84,0.31,0.15,0.8,0.1,0.18
zoolib.csv,0.0,0.0,0.47,0.91,0.25,0.82,0.43,0.92,0.28,0.13,0.71,0.93,1.0
