,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,unicase.csv,uwom.csv
gwanted.csv,0.57,0.55,0.52,0.68,0.77,0.64,0.74,0.42,0.79,0.56
ivatamasks.csv,0.93,0.27,0.99,0.34,1.0,0.78,0.94,0.59,0.9,0.83
orc.csv,0.95,0.59,0.32,0.66,0.9,0.71,0.84,0.71,0.79,0.55
plato.csv,0.93,0.5,0.97,0.64,0.86,0.33,0.89,0.6,0.98,0.84
rodin-b-sharp.csv,0.47,1.08,0.51,0.77,0.84,0.63,0.23,0.78,0.65,0.95
umber.csv,0.11,1.0,0.92,0.54,0.87,1.0,0.73,0.93,0.69,0.99
unicase.csv,0.26,1.0,0.81,0.98,0.86,0.75,0.79,0.79,0.46,0.9
uwom.csv,1.0,0.54,0.49,0.83,0.81,0.56,0.93,0.75,0.74,0.29
vienna-add-in.csv,0.55,1.08,0.87,0.77,0.45,0.72,0.85,0.76,0.87,0.76
wpdev.csv,0.98,0.01,0.98,1.0,0.98,1.0,1.0,0.94,0.99,0.71
