,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,salasaga.csv
ikvm.csv,0.37,0.96,0.25,0.09,0.27,0.23
mcmc-jags.csv,0.51,0.38,0.37,0.94,0.45,0.43
olap-navigator.csv,0.98,0.65,0.76,0.66,0.6,0.6
pidgin.csv,0.32,0.58,0.65,0.23,0.99,0.52
salasaga.csv,0.26,0.26,0.55,0.0,0.34,1.0
sepgsql.csv,0.21,0.4,0.82,0.37,0.4,0.0
