,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,phet.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,qdvdauthor.csv,kmess.csv,moast.csv,nativeclient.csv,genoviz.csv
brlcad.csv,0.64,1.0,0.73,0.55,0.22,0.19,0.27,0.43,0.88,0.78,0.43,0.35,0.1,0.53,0.69,0.65,0.89,0.6,0.09
delphilhlplib.csv,0.62,0.25,1.0,0.56,0.25,0.27,0.24,0.39,0.86,0.79,0.43,0.36,0.09,0.53,0.69,0.67,0.81,0.59,0.08
exordium.csv,0.8,0.24,0.76,0.59,1.0,0.36,0.15,0.22,0.88,0.81,0.79,0.45,0.07,0.8,0.67,0.7,0.56,0.74,0.15
fltk.csv,0.69,0.23,0.93,0.99,0.41,0.32,0.17,0.59,0.89,0.83,0.9,0.58,0.23,0.74,0.84,0.8,0.78,0.7,0.16
genoviz.csv,0.67,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,1.0
gzigzag.csv,0.74,0.14,0.33,0.74,0.39,1.0,0.21,0.6,0.83,0.78,0.33,0.5,0.19,0.79,0.6,0.82,0.72,0.8,0.25
irrlicht.csv,0.56,0.25,0.94,0.7,0.28,0.32,0.19,0.48,0.89,0.99,0.39,0.44,0.09,0.55,0.65,0.65,1.0,0.63,0.15
kmess.csv,0.71,0.25,0.73,0.58,0.31,0.23,0.24,0.3,0.81,0.77,0.34,0.45,0.08,0.49,0.72,0.99,0.96,0.6,0.15
moast.csv,0.62,0.25,0.68,0.57,0.25,0.24,0.24,0.38,0.85,0.77,0.43,0.35,0.09,0.55,0.68,0.63,1.0,0.59,0.11
mptvseries.csv,0.64,0.35,1.0,0.75,0.5,0.61,0.18,1.0,0.92,0.8,0.69,0.73,0.12,0.81,0.55,0.71,0.94,0.67,0.14
nativeclient.csv,0.59,0.26,0.83,0.64,0.35,0.3,0.23,0.3,0.83,0.82,0.6,0.46,0.09,0.6,0.76,0.75,0.85,0.98,0.12
openfrag.csv,0.65,0.24,0.69,0.63,0.3,0.27,0.18,0.41,0.85,0.77,0.45,0.37,0.08,1.0,0.76,0.66,0.92,0.58,0.1
phet.csv,0.46,0.15,0.73,0.41,0.03,0.22,1.0,0.19,0.72,0.76,0.24,0.21,0.07,0.39,0.62,0.54,0.6,0.48,0.04
qdvdauthor.csv,0.59,0.31,0.79,0.57,0.31,0.25,0.12,0.35,0.93,0.82,0.48,0.39,0.05,0.69,1.0,0.59,0.0,0.57,0.0
qse.csv,0.73,0.27,0.81,0.64,0.42,0.33,0.21,0.47,0.85,0.78,1.0,0.46,0.14,0.72,0.62,0.74,0.53,0.77,0.11
sauerbraten.csv,1.0,0.27,0.78,0.72,0.38,0.28,0.18,0.38,0.83,0.83,0.63,0.43,0.1,0.67,0.69,0.7,0.96,0.77,0.12
toped.csv,0.66,0.3,0.84,0.62,0.24,0.36,0.22,0.4,1.0,0.76,0.67,0.44,0.1,0.48,0.64,0.59,0.99,0.6,0.0
truevision.csv,0.72,0.27,0.77,0.68,0.39,0.25,0.2,0.46,0.85,0.79,0.65,1.0,0.14,0.55,0.7,0.71,0.9,0.76,0.11
zoolib.csv,0.73,0.31,0.0,0.78,0.1,0.22,0.11,0.5,1.0,0.75,1.0,0.8,0.96,1.0,0.72,0.44,0.92,0.48,0.0
