,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,multitude.csv
amateur-scrolls.csv,0.46,0.36,0.71,0.43,0.47,0.5,0.1,0.65,0.54,0.34
fritzing.csv,0.74,0.68,0.75,0.62,0.79,0.75,0.2,0.25,0.75,0.46
jlinalg.csv,0.74,0.34,0.44,0.67,0.31,0.75,0.8,0.95,0.42,0.62
knowledge.csv,0.76,0.9,0.79,0.88,0.87,0.75,0.2,0.6,0.62,0.82
massiv.csv,0.12,0.3,0.35,0.0,0.0,1.0,0.0,0.6,0.0,0.0
multitude.csv,0.74,0.52,0.85,0.83,0.81,0.75,0.6,0.95,0.75,0.69
playerstage.csv,0.52,0.72,0.83,0.71,0.68,0.5,0.1,0.35,0.29,0.4
quarkplusplus.csv,0.84,0.64,0.68,0.4,0.6,0.5,0.1,0.95,0.62,0.52
rtrt-on-gpu.csv,0.16,0.5,0.24,0.36,0.34,0.0,0.8,0.0,0.21,0.34
superwaba.csv,0.26,0.66,0.67,0.47,0.63,0.5,0.2,0.85,0.38,0.4
