,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,multitude.csv
amateur-scrolls.csv,0.45,0.41,0.61,0.48,0.51,0.54,0.12,0.66,0.57,0.39
fritzing.csv,0.68,0.69,0.74,0.64,0.74,0.69,0.24,0.29,0.69,0.5
jlinalg.csv,0.73,0.37,0.37,0.5,0.35,0.6,0.23,0.54,0.45,0.58
knowledge.csv,0.78,0.64,0.68,0.51,0.89,0.62,0.24,0.57,0.62,0.56
massiv.csv,0.15,0.35,0.4,0.0,0.0,0.99,0.0,0.63,0.0,0.0
multitude.csv,0.25,0.55,0.67,0.59,0.76,0.61,0.55,0.74,0.56,0.7
playerstage.csv,0.55,0.63,0.71,0.72,0.7,0.53,0.12,0.39,0.33,0.45
quarkplusplus.csv,0.71,0.66,0.63,0.45,0.65,0.54,0.12,0.64,0.63,0.55
rtrt-on-gpu.csv,0.19,0.44,0.28,0.37,0.3,0.0,0.81,0.0,0.24,0.37
superwaba.csv,0.3,0.68,0.66,0.51,0.66,0.53,0.24,0.75,0.43,0.44
