,triplea.csv,mclient-mume.csv,jython.csv,freelords.csv,jmonkeyengine.csv,aufs.csv,toped.csv,calcubetimer.csv,st-filteredstatistics.csv,aten.csv,papertoolkit.csv,primefaces.csv,chaosrts.csv,web-cat.csv,emono.csv
aufs.csv,0.12,0.63,0.73,0.7,0.0,0.68,0.29,0.27,0.51,0.32,1.0,0.88,0.47,0.53,0.21
calcubetimer.csv,0.62,0.0,1.0,0.14,0.94,1.0,0.45,0.82,0.13,0.23,0.67,0.18,0.29,0.53,0.72
chaosrts.csv,0.31,0.63,0.86,0.58,0.56,1.0,0.67,0.48,0.64,0.62,0.33,0.32,0.8,0.84,0.39
emono.csv,0.88,0.23,0.73,0.78,0.72,0.78,0.63,0.95,0.87,0.69,0.33,0.82,0.89,1.0,0.74
freelords.csv,0.78,0.87,0.95,0.72,0.61,0.92,0.92,0.48,0.77,0.87,0.67,0.32,0.94,0.89,0.7
jmonkeyengine.csv,0.22,0.77,0.14,0.52,0.61,0.0,0.86,0.07,0.13,0.87,1.0,0.6,0.29,0.89,0.84
jython.csv,0.69,0.33,0.86,0.58,0.44,0.16,0.35,0.41,0.67,0.15,0.0,0.35,0.91,0.11,0.45
mclient-mume.csv,0.16,0.87,0.32,0.11,0.28,0.0,0.69,0.09,0.33,0.56,0.33,0.3,0.31,0.26,0.22
papertoolkit.csv,0.31,0.03,0.59,0.16,0.11,0.19,0.47,0.25,0.08,0.21,1.0,0.22,0.13,0.05,0.41
primefaces.csv,0.75,0.9,0.77,0.32,0.72,1.0,0.9,0.43,0.36,0.9,0.67,0.72,0.42,0.74,0.99
st-filteredstatistics.csv,0.84,1.0,1.0,0.94,0.83,1.0,0.9,0.79,0.79,0.93,0.67,0.9,0.96,0.95,1.0
toped.csv,0.97,0.47,0.86,0.47,0.78,0.65,0.76,0.98,0.87,0.62,0.67,0.88,0.94,1.0,0.75
triplea.csv,0.59,0.63,0.45,0.48,0.61,0.68,0.55,0.73,0.9,0.39,0.67,0.3,0.77,0.95,0.48
web-cat.csv,0.94,0.77,0.5,0.53,0.94,0.78,0.78,0.68,0.72,0.88,1.0,0.88,0.96,0.79,0.92
