,robocode.csv,zildo.csv,customsagetv.csv,myfaces.csv,k3b.csv
customsagetv.csv,0.26,0.84,0.94,0.02,0.67
k3b.csv,0.61,0.86,0.38,0.0,0.9
myfaces.csv,0.87,1.0,0.73,0.4,1.0
robocode.csv,0.7,0.93,0.58,0.0,0.59
zildo.csv,0.13,0.82,0.58,0.94,0.1
