,openefm.csv,jgnash.csv,yarp0.csv,mp-rechnungs-und-kundenverwaltung.csv,ingex.csv,ambulant.csv
ambulant.csv,0.89,0.74,0.76,0.77,0.82,0.35
ingex.csv,0.77,0.76,0.66,0.67,0.48,0.76
jgnash.csv,0.52,0.44,0.69,0.63,0.69,0.69
mp-rechnungs-und-kundenverwaltung.csv,0.57,0.62,0.75,0.5,0.52,0.63
openefm.csv,0.4,0.68,1.0,0.82,0.74,0.6
yarp0.csv,0.67,0.65,0.47,0.81,0.62,0.67
