,jython.csv,jitterbit.csv,gzigzag.csv,blue-c.csv,jguard.csv,unbvision.csv,ppcboot.csv,repositorium.csv,personalaccess.csv,xbg.csv,gdis.csv,wxstudio.csv,icescrum.csv,elateportal.csv
blue-c.csv,0.97,0.45,0.58,0.12,0.48,0.78,0.23,0.69,0.96,0.62,0.46,0.76,0.59,0.17
elateportal.csv,0.14,0.47,0.44,0.36,0.71,0.05,0.49,0.64,0.36,0.87,0.38,0.78,0.88,0.0
gdis.csv,0.09,0.47,0.74,0.24,0.41,0.69,0.22,0.56,0.52,0.36,0.08,0.63,0.41,0.17
gzigzag.csv,0.04,0.55,0.37,0.08,0.36,0.29,0.01,0.05,0.12,0.31,0.0,0.12,0.38,0.17
icescrum.csv,0.07,0.31,0.38,0.04,0.55,0.21,0.14,0.2,0.04,0.44,0.15,0.18,0.19,0.33
jguard.csv,1.0,0.83,0.6,0.12,0.36,0.53,0.8,0.42,0.4,0.67,0.77,0.47,0.75,0.83
jitterbit.csv,0.79,0.22,0.39,0.32,0.48,0.24,0.56,0.03,0.6,0.49,0.23,0.53,0.81,0.33
jython.csv,0.17,0.57,0.35,0.68,0.16,0.66,0.39,0.38,0.36,0.22,0.23,0.69,0.06,0.17
personalaccess.csv,0.85,0.25,0.42,0.08,0.57,0.47,0.41,0.3,0.36,0.0,0.15,0.16,0.41,0.0
ppcboot.csv,0.18,0.95,0.72,1.0,0.89,1.0,0.27,0.87,0.52,0.69,0.85,0.98,0.59,1.0
repositorium.csv,0.07,0.19,0.15,0.16,0.66,0.18,0.09,0.3,0.08,0.13,0.31,0.35,0.28,0.17
unbvision.csv,0.17,0.43,0.18,0.04,0.2,0.25,0.63,0.28,0.24,0.15,0.38,0.53,0.22,0.17
wxstudio.csv,0.87,0.49,0.27,0.92,0.52,0.6,0.84,0.58,0.48,0.13,0.77,0.2,0.38,1.0
xbg.csv,0.08,0.22,0.12,0.04,0.12,0.22,0.54,0.1,0.04,0.35,0.31,0.31,0.06,0.0
