,jython.csv,jitterbit.csv,gzigzag.csv,blue-c.csv,jguard.csv,unbvision.csv,ppcboot.csv,repositorium.csv,personalaccess.csv,xbg.csv,gdis.csv,wxstudio.csv,icescrum.csv,elateportal.csv
blue-c.csv,0.13,0.69,0.59,0.79,0.48,0.51,0.57,0.48,0.17,0.63,0.7,0.52,0.69,0.06
elateportal.csv,0.11,0.67,0.61,0.76,0.59,0.2,0.54,0.61,0.36,0.41,0.21,0.52,0.36,0.96
gdis.csv,0.63,0.65,0.56,0.71,0.43,0.59,0.45,0.59,0.54,0.41,0.83,0.44,0.66,0.06
gzigzag.csv,0.41,0.59,0.56,0.52,0.4,0.53,0.04,0.32,0.46,0.53,0.15,0.1,0.55,0.89
icescrum.csv,0.72,0.68,0.56,0.38,0.58,0.51,0.18,0.0,0.28,0.61,0.54,0.28,0.83,0.06
jguard.csv,0.0,0.43,0.62,0.48,0.71,0.62,0.53,0.56,0.62,0.66,0.6,0.62,0.55,0.49
jitterbit.csv,0.55,0.71,0.65,0.79,0.56,0.71,0.68,0.11,0.67,0.69,0.61,0.18,0.5,0.11
jython.csv,0.85,0.56,0.38,0.53,0.2,0.52,0.57,0.3,0.46,0.14,0.19,0.44,0.13,0.06
personalaccess.csv,0.37,0.42,0.59,0.52,0.54,0.58,0.35,0.31,0.75,0.0,0.19,0.22,0.66,0.11
ppcboot.csv,0.89,0.21,0.57,0.0,0.37,0.0,0.61,0.41,0.72,0.64,0.45,0.09,0.6,0.0
repositorium.csv,0.0,0.24,0.17,0.0,0.36,0.2,0.12,0.79,0.1,0.14,0.27,0.34,0.19,0.06
unbvision.csv,0.82,0.7,0.46,0.38,0.41,0.84,0.5,0.31,0.46,0.29,0.8,0.32,0.57,0.11
wxstudio.csv,0.17,0.24,0.35,0.24,0.47,0.15,0.38,0.58,0.47,0.0,0.37,0.72,0.24,0.0
xbg.csv,0.5,0.2,0.17,0.09,0.2,0.37,0.61,0.11,0.06,0.82,0.14,0.25,0.19,0.24
