,opensim4opencog.csv,bnetd.csv,moving-pictures.csv,irplus.csv,xcmetadataservicestoolkit.csv,carabiner.csv,gnome-jabber.csv,gmerlin.csv,fleet-simulator.csv,ipfilter.csv,mevenide.csv,ta3d.csv,elvishrayrenderer.csv,rockbox.csv
bnetd.csv,0.41,0.46,0.43,0.35,0.37,0.52,0.35,0.34,0.41,0.38,0.45,0.39,0.33,0.4
carabiner.csv,0.56,0.41,0.36,0.34,0.35,0.48,0.34,0.31,0.39,0.32,0.51,0.45,0.3,0.33
elvishrayrenderer.csv,0.45,0.79,0.34,0.61,0.42,0.62,0.52,0.93,0.58,0.59,0.92,0.54,0.45,0.83
fleet-simulator.csv,0.4,0.41,0.28,0.37,0.33,0.41,0.52,0.32,0.29,0.37,0.48,0.41,0.33,0.4
gmerlin.csv,0.0,0.39,0.29,0.32,0.33,0.39,0.32,0.46,0.34,0.34,0.44,0.33,0.33,0.42
gnome-jabber.csv,0.48,0.44,0.31,0.43,0.41,0.64,0.46,0.43,0.44,0.34,0.47,0.5,0.38,0.41
ipfilter.csv,0.47,0.92,0.48,0.4,0.42,0.5,0.52,0.65,0.71,0.44,0.52,0.51,0.4,0.71
irplus.csv,0.48,0.45,0.36,0.43,0.5,0.78,0.4,0.33,0.53,0.3,0.42,0.3,0.28,0.32
mevenide.csv,0.88,0.0,0.8,0.5,0.67,0.8,0.67,0.8,0.83,0.89,0.75,0.67,0.73,0.75
moving-pictures.csv,0.95,0.42,0.46,0.54,0.36,0.89,0.33,0.68,0.71,0.34,0.63,0.36,0.38,0.33
opensim4opencog.csv,0.53,0.42,0.44,0.44,0.36,0.65,0.44,0.32,0.35,0.39,0.45,0.38,0.35,0.35
rockbox.csv,0.75,0.65,0.91,0.88,0.86,0.74,0.86,0.45,0.76,0.5,0.7,0.67,0.83,0.38
ta3d.csv,0.8,0.0,0.5,0.73,0.86,0.77,0.86,0.0,0.63,0.56,0.75,0.5,0.5,0.0
xcmetadataservicestoolkit.csv,0.48,0.75,0.75,0.59,0.41,0.62,0.54,0.42,0.39,0.43,0.54,0.41,0.39,0.8
