,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,mplayer-ce.csv,wikipediardware.csv
cortex-vfx.csv,0.76,0.86,0.49,0.62,0.72,0.66,0.52,0.58,0.62,0.69
empserver.csv,0.61,0.73,0.91,0.71,0.45,0.83,0.87,0.68,0.66,0.71
enlightenment.csv,1.0,1.0,1.0,0.48,1.0,1.0,1.0,1.0,1.0,1.0
ffigo.csv,0.62,0.75,0.82,1.0,0.97,1.0,0.7,0.42,0.73,1.01
ildjit.csv,0.73,0.33,0.74,0.88,0.68,1.03,0.98,0.8,0.83,0.83
jfreereport.csv,0.88,0.95,0.6,0.78,0.87,0.88,0.76,0.67,0.89,0.87
mplayer-ce.csv,0.58,0.83,0.97,0.61,0.96,0.86,0.89,0.59,0.55,0.5
psycle.csv,0.48,0.93,0.62,0.74,0.63,0.86,0.77,0.58,0.84,0.64
wikipediardware.csv,0.49,0.9,1.0,0.66,0.97,0.92,0.84,0.77,0.74,0.32
wxjs.csv,0.97,1.0,0.96,1.0,1.0,0.22,1.0,1.0,1.0,0.97
