,array4j.csv,jbpm.csv,log4net.csv,pustefix.csv,haggle.csv,mediate.csv,tmva.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,synecdoche.csv,emono.csv
array4j.csv,1.0,0.08,0.0,0.0,0.08,0.31,0.21,0.6,0.0,0.09,0.12,0.1,0.14
emono.csv,0.31,0.67,0.33,0.65,0.43,0.85,0.63,0.33,0.8,0.73,0.88,0.66,0.99
freedom-erp.csv,0.19,0.06,0.0,0.0,0.0,0.03,0.0,0.97,0.0,0.0,0.25,0.0,0.06
haggle.csv,0.12,0.17,0.33,0.57,1.0,0.05,0.31,0.04,0.2,0.27,0.12,0.03,0.09
jbpm.csv,0.0,0.96,0.0,0.17,0.04,0.13,0.0,0.13,0.0,0.18,0.0,0.03,0.01
jgossipforum.csv,0.06,0.0,0.0,0.09,0.08,0.03,0.01,0.0,0.8,0.0,0.0,0.0,0.01
joustsim.csv,0.06,0.08,0.33,0.26,0.74,0.13,0.43,0.01,0.4,1.0,0.25,0.1,0.15
log4net.csv,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
madman.csv,0.19,0.1,0.33,0.0,0.09,0.08,0.02,0.02,0.2,0.0,1.0,0.03,0.01
mediate.csv,0.81,0.35,1.0,0.43,0.62,1.0,0.61,0.44,0.2,0.36,0.5,0.52,0.34
pustefix.csv,0.62,0.73,0.33,0.91,0.09,0.41,0.19,0.26,0.4,0.36,0.0,0.07,0.18
synecdoche.csv,0.25,0.31,0.67,0.35,0.19,0.9,0.4,0.49,0.8,0.36,0.5,1.0,0.41
tmva.csv,0.44,0.79,0.67,0.17,0.45,0.72,0.97,0.96,0.8,0.82,0.62,0.45,0.71
