,array4j.csv,jbpm.csv,log4net.csv,pustefix.csv,haggle.csv,mediate.csv,tmva.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,synecdoche.csv,emono.csv
array4j.csv,0.94,0.98,0.92,0.75,0.9,0.68,0.97,0.46,0.94,0.8,0.92,0.67,0.94
emono.csv,0.63,0.48,0.67,0.48,0.46,0.34,0.52,0.64,0.5,0.46,0.42,0.45,0.53
freedom-erp.csv,0.86,0.97,0.89,0.5,0.0,0.0,0.0,0.41,0.75,0.0,0.86,0.0,0.89
haggle.csv,0.64,0.98,0.94,0.51,0.55,0.8,0.65,0.83,0.95,0.8,0.67,0.88,0.86
jbpm.csv,0.5,0.98,0.0,0.89,0.67,0.92,0.0,0.94,0.8,0.83,0.0,0.75,0.5
jgossipforum.csv,0.88,0.83,0.94,0.94,0.92,0.8,0.0,0.0,0.75,0.0,0.0,0.0,0.0
joustsim.csv,0.62,0.97,0.73,0.6,0.59,0.83,0.55,0.88,0.94,0.82,0.82,0.88,0.91
log4net.csv,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
madman.csv,0.92,0.97,0.95,0.0,0.88,0.75,0.83,0.83,0.5,0.67,0.88,0.0,0.0
mediate.csv,0.48,0.66,0.44,0.58,0.46,0.45,0.52,0.57,0.62,0.62,0.62,0.51,0.63
pustefix.csv,0.62,0.56,0.6,0.76,0.92,0.71,0.98,0.79,0.62,0.6,0.5,0.75,0.96
synecdoche.csv,0.92,0.62,0.57,0.75,0.83,0.37,0.54,0.47,0.67,0.6,0.61,0.62,0.58
tmva.csv,0.45,0.45,0.46,0.7,0.45,0.43,0.52,0.31,0.5,0.47,0.46,0.5,0.5
