,atlc.csv,theresa.csv,pfaedit.csv,jmol.csv,snakeyaml.csv,adobe-source.csv,wxcode.csv,ipfilter.csv,trinitycore.csv,rockbox.csv
adobe-source.csv,69.0,11.0,0.0,0.0,72.0,0.0,0.0,1.0,7.0,0.0
atlc.csv,0.0,36.0,1.0,1.0,38.0,13.0,2.0,1.0,9.0,10.0
ipfilter.csv,0.0,43.0,1.0,1.0,71.0,16.0,3.0,0.0,14.0,14.0
jmol.csv,0.0,47.0,0.0,0.0,72.0,6.0,0.0,0.0,13.0,0.0
pfaedit.csv,69.0,14.0,0.0,1.0,16.0,2.0,10.0,0.0,12.0,2.0
rockbox.csv,0.0,19.0,2.0,0.0,21.0,7.0,35.0,1.0,3.0,1.0
snakeyaml.csv,3.0,10.0,3.0,0.0,4.0,2.0,11.0,2.0,3.0,2.0
theresa.csv,0.0,12.0,0.0,0.0,10.0,2.0,9.0,1.0,2.0,0.0
trinitycore.csv,3.0,24.0,5.0,1.0,1.0,14.0,16.0,5.0,3.0,1.0
wxcode.csv,0.0,9.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0
