,atlc.csv,theresa.csv,pfaedit.csv,jmol.csv,snakeyaml.csv,adobe-source.csv,wxcode.csv,ipfilter.csv,trinitycore.csv,rockbox.csv
adobe-source.csv,0.0,0.22,0.17,0.0,0.83,0.14,0.2,0.16,0.2,0.09
atlc.csv,0.24,0.72,0.69,0.7,0.29,0.73,0.59,0.37,0.54,0.78
ipfilter.csv,0.97,0.86,0.97,0.83,0.87,0.87,0.72,0.16,0.91,0.72
jmol.csv,0.28,0.96,0.97,0.43,1.0,0.8,0.64,0.95,0.44,0.5
pfaedit.csv,0.0,0.3,0.17,0.78,0.32,0.22,0.14,0.0,0.4,0.12
rockbox.csv,0.0,0.4,0.49,0.57,0.35,0.39,0.55,0.42,0.46,0.28
snakeyaml.csv,0.17,0.22,0.4,0.26,0.17,0.27,0.22,0.74,0.2,0.12
theresa.csv,0.07,0.26,0.34,0.17,0.38,0.2,0.18,0.47,0.25,0.06
trinitycore.csv,0.17,0.5,0.37,0.39,0.02,0.28,0.29,0.74,0.33,0.12
wxcode.csv,0.0,0.18,0.2,0.04,0.02,0.27,0.18,0.0,0.18,0.06
