,atlc.csv,theresa.csv,pfaedit.csv,jmol.csv,snakeyaml.csv,adobe-source.csv,wxcode.csv,ipfilter.csv,trinitycore.csv,rockbox.csv
adobe-source.csv,0.0,0.33,0.43,0.21,0.74,0.63,0.86,0.57,0.36,0.32
atlc.csv,0.85,0.67,0.44,0.56,0.33,0.8,0.86,0.67,0.62,0.89
ipfilter.csv,0.76,0.67,0.94,0.76,0.59,0.9,0.71,0.98,0.89,0.74
jmol.csv,0.8,1.0,1.0,0.76,0.96,0.97,1.0,1.0,0.51,0.79
pfaedit.csv,0.0,0.67,0.76,0.75,0.48,0.4,0.57,0.09,0.56,0.32
rockbox.csv,0.02,1.0,0.78,0.56,0.56,0.47,0.71,0.52,0.71,0.74
snakeyaml.csv,0.68,1.0,0.54,0.4,0.63,0.4,0.57,0.48,0.44,0.16
theresa.csv,0.2,1.0,0.74,0.5,0.78,0.37,0.57,0.48,0.42,0.32
trinitycore.csv,0.1,1.0,0.56,0.28,0.07,0.17,0.57,0.46,0.65,0.21
wxcode.csv,0.1,0.67,0.44,0.29,0.22,0.57,1.0,0.37,0.36,0.16
