,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv
adaptagrams.csv,0.04,0.6,0.62,0.56,0.87
aime.csv,0.7,0.85,0.54,0.39,0.07
badtrinitycore.csv,1.0,1.0,0.84,0.06,1.03
electric-core.csv,0.66,0.6,0.09,0.8,0.65
olsrd.csv,0.71,0.05,0.7,0.77,0.58
