,gtad.csv,wgs-assembler.csv,nh3d.csv,jvcl.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,scen-connect.csv,htmlunit.csv,myfaces.csv,jaxlib.csv,anaxagora.csv,ipfire-wall.csv,jasperreports.csv,irplus.csv,smartgwt.csv,poormans.csv,free-evolution.csv
anaxagora.csv,0.71,0.72,1.17,0.98,0.43,0.64,0.83,0.7,0.6,0.72,0.62,0.7,0.69,0.41,0.74,0.56,0.69,0.63,0.6,0.62
blogentis.csv,0.72,0.75,0.83,0.82,1.02,0.69,0.46,0.74,1.05,0.51,0.69,0.64,0.9,0.51,0.9,0.57,0.63,0.96,0.66,0.86
free-evolution.csv,0.44,1.0,0.74,0.73,0.42,0.47,0.79,0.79,0.76,0.89,0.65,0.52,0.94,0.74,0.76,0.51,0.81,0.36,0.51,0.53
gtad.csv,0.18,0.6,0.86,0.76,0.86,0.57,0.59,0.94,0.92,0.34,0.66,0.62,0.5,0.82,0.54,0.41,0.63,0.53,0.74,0.77
htmlunit.csv,0.51,0.83,0.87,0.52,0.59,0.52,0.66,0.84,0.75,0.62,0.49,0.39,1.05,0.74,0.53,0.34,0.59,0.44,0.47,0.68
ipfire-wall.csv,0.52,0.67,0.75,1.0,0.71,0.93,0.77,0.82,0.9,1.0,0.74,0.76,0.55,0.71,0.31,0.42,0.69,0.63,1.0,0.92
irplus.csv,0.52,0.7,0.83,0.7,0.57,0.47,0.52,0.86,0.72,0.3,0.39,0.37,1.06,0.59,0.58,0.34,0.51,0.57,0.38,0.61
jasperreports.csv,0.69,0.87,0.91,0.57,1.01,0.91,0.76,0.6,0.66,0.28,0.94,0.59,0.52,0.78,0.79,0.13,0.77,0.36,0.6,0.87
jaxlib.csv,0.52,0.9,0.75,0.79,0.88,0.45,0.8,0.59,0.7,0.74,0.86,0.84,0.04,0.86,0.64,0.75,0.59,0.82,0.86,0.58
jvcl.csv,0.73,0.83,0.58,0.54,0.76,0.84,0.78,0.84,0.85,1.04,0.75,0.87,0.74,0.83,0.62,0.93,0.67,0.88,0.4,0.73
kaffeine.csv,0.96,0.88,0.9,0.99,0.19,0.59,0.71,0.62,1.01,0.51,0.64,0.66,0.94,0.6,0.95,0.58,0.59,0.6,0.71,0.66
m-m-m.csv,0.49,0.7,0.63,0.92,0.72,0.78,0.94,0.25,0.87,0.95,0.96,0.98,0.75,0.85,0.55,0.92,0.53,0.94,0.66,0.66
myfaces.csv,0.66,0.7,0.97,0.59,0.82,0.58,0.81,0.8,1.07,1.01,0.55,0.37,0.62,0.91,0.37,0.52,0.85,0.4,0.62,0.73
nh3d.csv,1.0,0.62,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.73,1.0,0.75,1.0,1.0,0.7,1.0,0.99,1.0,1.0
poormans.csv,1.0,0.81,1.02,0.79,0.86,0.64,0.67,0.84,0.91,0.03,0.48,0.42,0.9,0.72,1.0,0.22,0.84,0.61,0.32,1.0
sarasvati.csv,0.58,0.78,0.6,0.93,0.92,0.39,0.88,0.83,0.97,0.28,0.69,0.53,0.35,0.49,0.6,0.33,0.58,0.45,0.77,0.88
smartgwt.csv,0.8,0.81,0.78,0.59,0.36,0.84,0.67,0.74,0.87,0.46,0.88,0.53,0.57,0.71,0.7,0.74,0.86,0.36,0.58,0.58
taokgame.csv,0.59,1.0,1.0,0.73,0.94,0.84,0.73,0.9,0.11,1.03,0.97,0.75,1.01,0.79,0.58,0.75,0.82,0.92,0.5,0.79
wgs-assembler.csv,0.24,0.68,0.68,0.85,0.49,0.56,0.66,0.98,0.26,0.93,0.64,0.44,0.78,0.69,0.93,0.4,0.63,0.92,0.44,0.59
