,gtad.csv,wgs-assembler.csv,nh3d.csv,jvcl.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,scen-connect.csv,htmlunit.csv,myfaces.csv,jaxlib.csv,anaxagora.csv,ipfire-wall.csv,jasperreports.csv,irplus.csv,smartgwt.csv,poormans.csv,free-evolution.csv
anaxagora.csv,0.5,0.59,0.19,0.09,0.62,0.7,0.49,0.41,0.59,0.66,0.5,0.61,0.5,0.69,0.59,0.73,0.63,0.53,0.69,0.49
blogentis.csv,0.5,0.49,0.5,0.34,0.0,0.4,0.67,0.4,0.0,0.83,0.53,0.46,0.42,0.66,0.4,0.56,0.48,0.05,0.47,0.47
free-evolution.csv,0.86,0.0,0.49,0.58,0.63,0.7,0.55,0.34,0.57,0.38,0.67,0.78,0.24,0.56,0.48,0.78,0.51,0.8,0.74,0.65
gtad.csv,0.96,0.64,0.28,0.29,0.17,0.5,0.6,0.07,0.12,0.91,0.39,0.45,0.55,0.23,0.54,0.66,0.44,0.52,0.3,0.28
htmlunit.csv,0.83,0.5,0.28,0.67,0.46,0.69,0.54,0.19,0.34,0.75,0.62,0.72,0.0,0.45,0.58,0.83,0.59,0.61,0.62,0.4
ipfire-wall.csv,0.55,0.53,0.62,0.0,0.34,0.11,0.54,0.22,0.23,0.0,0.46,0.29,0.54,0.37,0.78,0.82,0.37,0.49,0.0,0.11
irplus.csv,0.82,0.59,0.28,0.62,0.49,0.65,0.6,0.27,0.34,0.92,0.76,0.77,0.0,0.57,0.66,0.88,0.64,0.55,0.78,0.51
jasperreports.csv,0.5,0.43,0.37,0.65,0.0,0.11,0.29,0.74,0.44,0.93,0.24,0.54,0.82,0.56,0.57,0.94,0.45,0.72,0.63,0.46
jaxlib.csv,0.54,0.12,0.29,0.53,0.15,0.76,0.45,0.46,0.43,0.64,0.27,0.3,0.99,0.32,0.52,0.31,0.59,0.51,0.21,0.54
jvcl.csv,0.49,0.25,0.53,0.54,0.28,0.21,0.55,0.19,0.46,0.0,0.33,0.45,0.49,0.22,0.48,0.32,0.4,0.42,0.7,0.31
kaffeine.csv,0.17,0.16,0.28,0.05,0.85,0.66,0.61,0.54,0.22,0.83,0.68,0.66,0.24,0.69,0.21,0.76,0.65,0.76,0.66,0.61
m-m-m.csv,0.84,0.5,0.65,0.4,0.51,0.57,0.31,0.83,0.44,0.21,0.28,0.13,0.62,0.48,0.75,0.3,0.68,0.29,0.63,0.56
myfaces.csv,0.72,0.59,0.23,0.64,0.22,0.57,0.53,0.29,0.12,0.0,0.57,0.7,0.75,0.12,0.73,0.82,0.47,0.73,0.43,0.34
nh3d.csv,0.0,0.56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.62,0.0,0.0,0.68,0.0,0.05,0.0,0.0
poormans.csv,0.0,0.25,0.0,0.29,0.17,0.41,0.38,0.25,0.23,0.99,0.59,0.7,0.36,0.34,0.0,0.89,0.19,0.45,0.76,0.0
sarasvati.csv,0.53,0.27,0.53,0.22,0.1,0.73,0.24,0.24,0.12,0.93,0.47,0.62,0.9,0.68,0.53,0.83,0.62,0.68,0.28,0.15
smartgwt.csv,0.56,0.52,0.29,0.48,0.69,0.38,0.51,0.46,0.23,0.85,0.43,0.58,0.53,0.58,0.63,0.51,0.31,0.75,0.59,0.59
taokgame.csv,0.53,0.0,0.0,0.46,0.07,0.21,0.33,0.12,0.98,0.0,0.04,0.37,0.0,0.36,0.68,0.31,0.24,0.12,0.63,0.25
wgs-assembler.csv,0.94,0.53,0.51,0.46,0.57,0.68,0.56,0.02,0.87,0.27,0.42,0.7,0.48,0.6,0.37,0.68,0.51,0.1,0.7,0.58
