,mcore3d.csv,xbplayer.csv,genecys.csv,projecteqemu.csv
genecys.csv,0.68,0.33,0.9,0.52
mcore3d.csv,0.72,0.43,0.89,0.51
projecteqemu.csv,0.84,0.45,0.91,0.72
xbplayer.csv,0.84,0.66,0.96,0.62
