,mcore3d.csv,xbplayer.csv,genecys.csv,projecteqemu.csv
genecys.csv,0.97,0.92,0.78,0.66
mcore3d.csv,0.75,0.52,0.78,0.72
projecteqemu.csv,0.59,0.5,0.61,0.36
xbplayer.csv,0.7,0.43,0.64,0.73
