,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,ffigo.csv,gstreamer.csv,metacosm.csv
aufs.csv,0.38,0.33,0.05,0.72,0.43,1.0,0.5,0.79,0.53,0.68,0.34,0.76,0.65,0.62
bdbbasic.csv,0.45,0.33,0.05,0.71,0.28,0.42,0.47,0.74,1.0,0.74,0.33,0.69,0.61,0.74
echongl.csv,0.26,0.19,0.03,0.5,0.24,0.26,0.55,0.62,0.29,1.0,0.45,0.67,0.48,0.43
etherboot.csv,0.28,0.05,0.03,0.67,1.0,0.26,0.53,0.63,0.35,0.81,0.35,0.6,0.65,0.53
ffigo.csv,0.51,0.16,0.06,0.67,0.39,0.37,0.56,0.73,0.5,0.85,0.33,1.0,0.75,0.64
freebios.csv,0.23,0.42,0.04,0.48,0.29,0.31,1.0,0.59,0.21,0.81,0.41,0.65,0.48,0.73
gebr.csv,0.3,0.16,0.03,0.69,0.3,0.35,0.38,0.99,0.31,0.72,0.35,0.68,0.67,0.48
gnukeda.csv,0.29,0.18,0.06,1.0,0.26,0.43,0.47,0.9,0.55,0.73,0.39,0.78,0.8,0.46
gstreamer.csv,0.37,0.24,0.04,0.64,0.21,0.38,0.53,0.85,0.31,0.76,0.39,0.71,0.99,0.57
jnode.csv,1.0,0.75,1.0,0.0,0.33,0.0,1.0,0.67,1.0,0.0,0.0,0.0,0.75,0.0
metacosm.csv,0.47,0.46,0.06,0.68,0.27,0.48,0.64,0.97,0.64,0.88,0.39,0.83,0.7,1.0
openmeetings.csv,0.65,1.0,0.06,1.0,0.3,0.51,0.61,1.0,0.83,0.57,0.45,0.83,0.85,0.61
pgui.csv,0.37,0.1,0.06,0.53,0.25,0.24,0.65,0.91,0.44,0.72,0.98,0.64,0.49,0.67
wxcrp.csv,0.93,0.14,0.05,0.83,0.3,0.5,1.0,1.0,0.83,0.73,0.46,0.82,0.83,0.45
