,scenemonitor.csv,pustefix.csv,haggle.csv,avisynth2.csv,ibatisdb.csv,ngl.csv,jas.csv,wsmt.csv,mesa3d.csv,coot.csv
avisynth2.csv,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.94,1.0,1.0
coot.csv,0.71,0.84,0.73,0.7,0.77,0.6,0.87,0.76,0.79,0.0
haggle.csv,0.95,0.64,0.02,0.34,0.38,0.67,0.9,0.5,0.81,0.62
ibatisdb.csv,1.0,0.82,0.83,1.0,0.03,0.85,1.0,0.95,0.87,0.63
jas.csv,1.0,1.0,0.96,1.0,1.0,1.0,0.0,0.95,1.0,0.98
mesa3d.csv,0.9,1.0,0.86,0.68,0.91,0.84,0.8,0.88,0.16,0.81
ngl.csv,0.76,0.48,0.57,0.7,0.89,0.0,0.42,0.96,0.6,0.63
pustefix.csv,0.86,0.04,0.98,1.0,0.95,0.91,1.05,0.82,0.99,0.97
scenemonitor.csv,0.0,0.72,0.83,0.64,0.57,0.84,0.5,0.94,0.77,0.86
wsmt.csv,0.87,0.92,0.72,0.4,0.91,0.75,1.11,0.04,0.92,0.85
