,scenemonitor.csv,pustefix.csv,haggle.csv,avisynth2.csv,ibatisdb.csv,ngl.csv,jas.csv,wsmt.csv,mesa3d.csv,coot.csv
avisynth2.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07,0.0,0.0
coot.csv,0.35,0.4,0.41,0.37,0.29,0.51,0.28,0.4,0.26,1.0
haggle.csv,0.06,0.6,1.0,0.91,0.81,0.39,0.14,0.7,0.29,0.63
ibatisdb.csv,0.0,0.33,0.22,0.0,0.98,0.19,0.0,0.11,0.16,0.48
jas.csv,0.0,0.0,0.05,0.0,0.0,0.0,1.0,0.07,0.0,0.02
mesa3d.csv,0.12,0.0,0.19,0.38,0.13,0.2,0.29,0.17,0.87,0.33
ngl.csv,0.29,0.63,0.65,0.59,0.25,1.0,0.8,0.33,0.58,0.56
pustefix.csv,0.36,0.97,0.04,0.0,0.1,0.12,0.0,0.27,0.01,0.02
scenemonitor.csv,1.0,0.62,0.47,0.61,0.76,0.48,0.63,0.39,0.47,0.44
wsmt.csv,0.28,0.2,0.47,0.69,0.2,0.33,0.0,0.97,0.11,0.25
