,scenemonitor.csv,pustefix.csv,haggle.csv,avisynth2.csv,ibatisdb.csv,ngl.csv,jas.csv,wsmt.csv,mesa3d.csv,coot.csv
avisynth2.csv,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.5,0.0,0.0
coot.csv,0.8,0.6,0.55,0.93,0.97,0.5,0.58,0.58,0.97,0.53
haggle.csv,0.0,0.48,0.56,0.5,0.44,0.73,0.71,0.49,0.64,0.48
ibatisdb.csv,0.5,0.74,0.95,0.0,0.8,0.98,0.89,0.91,0.97,0.55
jas.csv,0.0,0.0,0.67,0.0,0.8,0.0,0.88,0.75,0.0,0.67
mesa3d.csv,0.8,0.5,0.95,0.88,0.96,0.98,0.97,0.82,0.92,0.7
ngl.csv,0.88,0.45,0.58,0.53,0.7,0.56,0.59,0.42,0.44,0.5
pustefix.csv,0.6,0.77,0.83,0.0,0.97,0.98,0.92,0.69,0.96,0.0
scenemonitor.csv,0.55,0.42,0.46,0.5,0.41,0.5,0.48,0.36,0.64,0.41
wsmt.csv,0.74,0.93,0.83,0.94,0.86,0.86,0.88,0.57,0.97,0.95
