,go.csv,yale.csv,freebios.csv,vars-redux.csv,gnupdate.csv,alsa.csv,qse.csv,pgui.csv,pcsx2.csv,rebecca-aiml.csv,wxjs.csv,glelite.csv,ffigo.csv,gstreamer.csv,skia.csv,biopax.csv,metacosm.csv
alsa.csv,0.27,0.45,0.63,0.64,0.58,0.42,0.64,0.63,0.45,0.82,0.49,1.0,0.34,0.63,0.41,0.15,0.61
biopax.csv,0.82,1.0,1.0,1.0,0.92,0.71,0.94,0.85,0.91,1.0,1.0,0.67,0.82,0.99,1.0,0.0,1.0
ffigo.csv,0.0,0.18,0.0,0.57,0.05,0.0,0.02,0.0,0.1,0.1,0.11,0.0,0.32,0.0,0.37,0.15,0.19
freebios.csv,0.69,0.39,0.25,0.25,0.45,0.39,0.68,0.34,0.37,0.14,0.41,0.33,0.64,0.41,0.65,0.65,0.13
glelite.csv,0.93,0.97,0.88,0.73,0.97,0.87,0.98,0.98,0.76,0.96,0.98,0.0,0.95,0.97,0.85,0.6,0.97
gnupdate.csv,0.53,0.35,0.61,0.81,0.15,0.64,0.49,0.37,0.55,0.17,0.43,0.67,0.61,0.2,0.3,0.65,0.77
go.csv,0.22,0.59,0.39,0.67,0.43,0.66,0.32,0.71,0.58,0.36,0.26,0.0,0.36,0.57,0.76,0.2,0.61
gstreamer.csv,0.6,0.85,0.8,0.85,0.49,0.81,0.49,0.76,0.37,0.55,0.8,0.67,0.82,0.24,0.54,0.65,1.0
metacosm.csv,0.09,0.57,0.18,0.28,0.13,0.14,0.09,0.29,0.25,0.3,0.13,0.0,0.3,0.09,0.35,0.3,0.23
pcsx2.csv,0.13,0.65,0.82,0.63,0.44,0.31,0.4,0.66,0.33,0.88,0.74,0.67,0.0,0.32,0.8,0.3,0.94
pgui.csv,0.0,0.0,0.02,0.45,0.87,0.0,0.36,0.23,0.0,0.02,0.12,0.67,0.0,0.0,0.24,0.65,1.0
qse.csv,0.0,0.49,0.0,0.7,0.01,0.01,0.13,0.0,0.2,0.54,0.37,0.67,0.05,0.0,0.33,0.1,0.52
rebecca-aiml.csv,0.29,0.49,0.1,0.24,0.35,0.43,0.19,0.31,0.39,0.16,0.27,0.0,0.23,0.55,0.74,0.4,0.19
skia.csv,0.24,0.32,0.18,0.55,0.43,0.46,0.11,0.49,0.29,0.09,0.51,0.0,0.27,0.28,0.2,0.4,0.19
vars-redux.csv,0.31,0.81,0.61,0.34,0.56,0.31,0.43,0.79,0.56,1.0,0.83,1.0,0.5,0.72,0.78,0.0,0.48
wxjs.csv,0.02,0.05,0.0,0.01,0.0,0.02,0.02,0.07,0.03,0.11,0.21,0.0,0.0,0.02,0.13,0.2,0.0
yale.csv,1.0,0.25,0.76,0.46,0.99,0.97,0.43,0.41,0.92,0.67,0.3,1.0,0.68,0.46,0.85,0.5,0.29
