,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,97.5,168.0,0.0,93.5,98.5,234.5,96.5,80.5,73.5,95.5
arsenal-1.csv,99.0,98.5,96.5,93.5,98.5,590.5,93.5,293.5,182.0,95.5
barracudamvc.csv,94.5,94.5,195.0,98.5,97.5,1495.5,96.5,195.0,196.5,197.5
irplus.csv,98.5,189.0,87.5,96.5,98.5,526.5,195.0,196.0,97.5,95.5
lite.csv,95.5,98.5,195.0,77.5,98.5,612.0,96.5,196.0,194.5,85.5
mevenide.csv,99.0,98.5,182.0,0.0,237.5,240.5,68.5,97.5,86.5,95.5
ontopia.csv,97.5,94.5,87.5,93.5,98.5,591.5,96.5,88.5,196.5,197.5
openintents.csv,94.5,94.5,195.0,98.5,96.5,2106.0,93.5,294.5,95.5,197.5
ta3d.csv,97.5,391.5,285.5,0.0,98.5,368.5,164.0,96.5,23.5,194.5
tweetsharp.csv,99.0,98.5,195.0,98.5,84.5,820.5,195.5,635.5,196.5,197.5
