,pclasses.csv,olap-navigator.csv,re2c.csv,tzod.csv,wxcrp.csv,atlc.csv,konversation.csv,co-ode-owl-plugins.csv,etherboot.csv,boost-sandbox.csv,plato.csv,freebios.csv,clamav.csv,miranda-icq.csv,jasperreports.csv,frogatto.csv,rebecca-aiml.csv,glelite.csv
atlc.csv,558.0,97.5,97.5,97.5,92.5,97.5,98.5,2093.0,760.0,98.5,99.0,192.0,95.5,491.5,14390.0,94.5,197.5,99.0
boost-sandbox.csv,859.0,196.0,94.5,634.5,92.5,97.5,464.5,1510.5,625.5,98.5,99.0,388.5,370.0,196.5,1521.5,98.5,98.5,89.5
clamav.csv,376.0,179.0,97.5,97.5,288.5,97.5,98.5,930.0,375.0,98.5,99.0,287.5,88.5,393.5,9512.0,98.5,197.5,99.0
co-ode-owl-plugins.csv,184.0,97.5,97.5,97.5,261.5,97.5,98.5,224.0,800.0,95.5,143.5,488.5,90.5,935.5,12870.5,98.5,98.5,99.0
etherboot.csv,748.0,196.0,0.0,97.5,16.5,97.5,98.5,43.5,361.0,0.0,95.5,0.0,95.5,0.0,0.0,98.5,0.0,99.0
freebios.csv,1208.0,280.5,97.5,779.5,387.5,96.5,459.5,1545.5,661.5,96.5,99.0,290.5,95.5,392.5,2602.5,97.5,196.5,99.0
frogatto.csv,559.0,196.0,97.5,97.5,387.5,97.5,98.5,2404.5,849.5,98.5,99.0,287.5,95.5,491.0,15095.5,98.5,197.5,99.0
glelite.csv,552.0,174.0,97.5,97.5,387.5,97.5,98.5,2481.0,849.5,98.5,99.0,487.5,95.5,590.0,15095.5,98.5,197.5,99.0
jasperreports.csv,651.5,562.0,94.5,97.5,192.0,97.5,98.5,2863.5,656.5,98.5,99.0,192.0,95.5,491.0,404.5,98.5,98.5,93.5
konversation.csv,271.5,89.5,94.5,97.5,90.5,97.5,98.5,1058.0,649.0,98.5,99.0,87.5,159.0,660.5,1091.0,97.5,98.5,95.5
miranda-icq.csv,370.0,196.0,248.0,97.5,291.0,97.5,98.5,1714.5,279.5,98.5,92.5,288.0,95.5,471.0,5369.0,94.5,98.5,98.5
olap-navigator.csv,178.0,97.5,94.5,97.5,288.0,97.5,98.5,2961.0,266.5,98.5,99.0,192.0,95.5,738.5,1814.5,94.5,98.5,98.5
pclasses.csv,279.5,97.5,162.0,507.0,261.5,0.0,98.5,614.0,67.5,88.5,99.0,267.5,184.0,0.0,9186.5,97.5,98.5,75.5
plato.csv,558.0,196.0,97.5,97.5,387.5,97.5,98.5,2414.0,849.5,98.5,99.0,586.0,95.5,590.0,15095.5,98.5,197.5,99.0
re2c.csv,240.5,97.5,97.5,97.5,188.0,96.5,332.5,481.0,173.0,95.5,90.5,489.5,90.5,1911.0,5835.0,98.5,494.0,98.5
rebecca-aiml.csv,253.0,196.0,97.5,97.5,387.5,90.5,98.5,2129.0,448.5,95.5,95.5,293.0,171.5,488.0,5887.5,94.5,278.0,99.0
tzod.csv,370.5,707.0,274.0,97.5,94.5,94.5,98.5,1271.0,89.5,98.5,92.5,193.0,95.5,196.0,7121.5,98.5,80.5,85.5
wxcrp.csv,466.5,196.0,97.5,97.5,192.0,97.5,98.5,2507.5,849.5,98.5,99.0,586.0,95.5,590.0,14945.5,192.0,197.5,99.0
