,dynalloy.csv,electric-core.csv,nosleepsoftware.csv,cities3d.csv,mptvseries.csv,mvnforum.csv,botsnscouts.csv,sumatrapdf.csv,ogre.csv,autat.csv,openfrag.csv,jparsec.csv,img-browse-sort.csv,qdvdauthor.csv,findbugs.csv,moast.csv,zxing.csv
autat.csv,0.45,0.93,0.61,0.89,0.56,0.55,0.56,0.88,0.95,0.63,0.68,0.41,0.89,0.45,0.59,0.55,0.65
botsnscouts.csv,0.39,0.44,0.75,0.65,0.67,0.42,0.44,0.4,0.41,0.52,0.55,0.38,0.29,0.32,0.34,0.96,0.48
cities3d.csv,0.95,0.76,0.4,0.59,0.52,0.65,0.75,0.0,0.9,0.53,0.0,0.56,0.86,0.5,0.93,0.53,0.46
dynalloy.csv,0.69,0.77,0.67,0.43,0.47,0.39,0.5,0.59,0.89,0.86,0.53,0.4,0.38,0.44,0.43,0.41,0.5
electric-core.csv,0.44,0.62,0.68,0.44,0.43,0.34,0.42,0.57,0.62,0.4,0.44,0.38,0.37,0.45,0.4,0.41,0.52
findbugs.csv,0.61,0.85,0.42,0.64,0.59,0.5,0.75,0.72,0.61,0.47,0.54,0.4,0.6,0.36,0.66,0.43,0.51
img-browse-sort.csv,0.48,0.38,0.56,0.37,0.57,0.5,0.47,0.4,0.56,0.34,0.57,0.45,0.59,0.41,0.48,0.46,0.9
jparsec.csv,0.37,0.37,0.42,0.35,0.38,0.32,0.41,0.37,0.44,0.31,0.48,0.46,0.42,0.38,0.34,0.82,0.42
moast.csv,0.55,0.47,0.0,0.43,0.68,0.37,0.33,0.34,0.87,0.76,0.8,0.62,0.29,0.9,0.49,0.44,0.6
mptvseries.csv,0.69,0.74,0.89,0.59,0.48,0.46,0.64,0.62,0.95,0.93,0.77,0.37,0.6,0.41,0.62,0.0,0.56
mvnforum.csv,0.96,0.99,0.86,0.92,0.93,0.58,0.53,0.55,0.99,0.92,0.88,0.52,0.75,0.93,0.84,0.68,0.93
nosleepsoftware.csv,0.5,0.88,0.67,0.98,0.9,0.75,0.0,0.63,0.6,0.88,0.92,0.67,0.82,0.92,0.89,0.9,0.89
ogre.csv,0.55,0.42,0.46,0.37,0.52,0.55,0.38,0.41,0.45,0.42,0.55,0.69,0.3,0.45,0.47,0.42,0.4
openfrag.csv,0.47,0.47,0.68,0.44,0.47,0.39,0.39,0.61,0.94,0.42,0.52,0.4,0.48,0.43,0.4,0.42,0.55
qdvdauthor.csv,0.74,0.99,0.68,0.8,0.47,0.51,0.91,0.41,0.79,0.45,0.58,0.5,0.9,0.49,0.74,0.54,0.8
sumatrapdf.csv,0.4,0.51,0.38,0.36,0.39,0.35,0.48,0.57,0.48,0.35,0.44,0.39,0.4,0.36,0.32,0.39,0.42
zxing.csv,0.49,0.74,0.62,0.49,0.44,0.38,0.48,0.86,0.88,0.4,0.47,0.42,0.35,0.34,0.43,0.44,0.43
