,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,twostep.csv,geotools.csv,primefaces.csv,l2j.csv,nunit.csv
calcubetimer.csv,0.82,0.62,0.98,0.61,0.0,1.0,0.64,0.72,0.58,0.71
chaperon.csv,0.91,0.96,0.85,0.0,0.86,0.85,0.96,0.94,0.94,0.76
geotools.csv,0.74,0.85,0.87,0.76,0.77,0.66,0.05,0.88,0.86,0.74
l2j.csv,0.76,0.46,0.89,0.8,0.73,0.51,0.58,0.64,0.01,0.6
mule.csv,0.03,0.82,0.91,1.0,0.59,0.53,0.7,0.83,0.8,0.48
nunit.csv,0.77,0.93,0.85,0.77,1.02,0.87,0.87,0.85,0.96,0.1
primefaces.csv,0.76,0.63,0.49,0.8,1.04,0.47,0.65,0.04,0.58,0.55
springside.csv,0.59,0.05,0.68,0.64,0.87,0.76,0.64,0.68,0.79,0.6
swtfox.csv,0.77,0.85,0.03,0.98,1.04,0.71,0.83,0.64,0.89,0.75
twostep.csv,0.64,0.73,0.87,0.85,0.61,0.04,0.58,0.94,0.68,0.51
