,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,twostep.csv,geotools.csv,primefaces.csv,l2j.csv,nunit.csv
calcubetimer.csv,0.5,0.5,0.28,0.52,1.0,0.0,0.61,0.5,0.6,0.58
chaperon.csv,0.11,0.05,0.21,1.0,0.21,0.18,0.06,0.1,0.07,0.29
geotools.csv,0.32,0.19,0.23,0.29,0.27,0.4,0.96,0.15,0.17,0.34
l2j.csv,0.58,0.66,0.42,0.47,0.47,0.75,0.71,0.56,0.99,0.63
mule.csv,0.98,0.22,0.18,0.0,0.46,0.54,0.38,0.23,0.24,0.6
nunit.csv,0.3,0.29,0.31,0.29,0.0,0.41,0.45,0.23,0.2,0.92
primefaces.csv,0.55,0.6,0.68,0.47,0.28,0.61,0.58,0.98,0.61,0.6
springside.csv,0.6,0.96,0.45,0.52,0.32,0.31,0.48,0.62,0.34,0.56
swtfox.csv,0.54,0.47,0.98,0.27,0.28,0.44,0.46,0.5,0.4,0.44
twostep.csv,0.59,0.55,0.34,0.28,0.44,0.97,0.62,0.1,0.45,0.61
