,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,twostep.csv,geotools.csv,primefaces.csv,l2j.csv,nunit.csv
calcubetimer.csv,0.75,0.45,0.4,0.17,1.0,0.51,0.44,0.54,0.68,0.33
chaperon.csv,0.16,0.07,0.23,1.0,0.3,0.25,0.07,0.13,0.11,0.31
geotools.csv,0.4,0.23,0.23,0.18,0.38,0.47,0.98,0.21,0.24,0.28
l2j.csv,0.71,0.58,0.37,0.11,0.62,0.63,0.51,0.61,0.99,0.38
mule.csv,0.99,0.3,0.18,0.0,0.58,0.55,0.35,0.3,0.33,0.47
nunit.csv,0.37,0.47,0.28,0.14,0.86,0.52,0.37,0.29,0.78,0.95
primefaces.csv,0.64,0.48,0.6,0.11,0.43,0.6,0.42,0.98,0.7,0.4
springside.csv,0.65,0.96,0.42,0.16,0.43,0.33,0.4,0.69,0.43,0.36
swtfox.csv,0.64,0.44,0.99,0.06,0.43,0.39,0.32,0.55,0.72,0.26
twostep.csv,0.64,0.45,0.29,0.08,0.56,0.98,0.46,0.12,0.54,0.42
