,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,twostep.csv,geotools.csv,primefaces.csv,l2j.csv,nunit.csv
calcubetimer.csv,0.35,0.57,0.38,0.58,0.43,0.42,0.38,0.38,0.4,0.4
chaperon.csv,0.95,0.8,0.9,0.75,0.91,0.83,0.96,0.86,0.92,0.96
geotools.csv,0.76,0.86,0.63,0.86,0.69,0.83,0.69,0.86,0.97,0.81
l2j.csv,0.37,0.49,0.41,0.44,0.43,0.36,0.37,0.42,0.45,0.41
mule.csv,0.48,0.92,0.63,0.75,0.43,0.48,0.57,0.79,0.83,0.56
nunit.csv,0.76,0.52,0.68,0.9,0.51,0.48,0.51,0.88,0.44,0.92
primefaces.csv,0.48,0.58,0.62,0.44,0.74,0.5,0.54,0.45,0.57,0.58
springside.csv,0.4,0.59,0.57,0.52,0.67,0.62,0.61,0.4,0.67,0.55
swtfox.csv,0.48,0.58,0.72,0.65,0.74,0.73,0.61,0.66,0.49,0.65
twostep.csv,0.47,0.61,0.47,0.65,0.5,0.48,0.54,0.88,0.56,0.62
