,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,twostep.csv,geotools.csv,primefaces.csv,l2j.csv,nunit.csv
calcubetimer.csv,0.82,0.32,0.91,0.35,0.0,1.0,0.55,0.52,0.42,0.63
chaperon.csv,0.09,0.03,0.22,0.0,0.25,0.04,0.1,0.15,0.03,0.1
geotools.csv,0.16,0.14,0.34,0.12,0.0,0.07,0.0,0.07,0.07,0.23
l2j.csv,0.73,0.3,0.74,0.62,0.5,0.49,0.56,0.48,0.0,0.5
mule.csv,0.0,0.03,0.32,0.08,0.0,0.18,0.24,0.22,0.04,0.22
nunit.csv,0.18,0.92,0.45,0.19,1.0,0.87,0.82,0.3,0.95,0.0
primefaces.csv,0.69,0.53,0.38,0.62,0.75,0.2,0.52,0.04,0.45,0.38
springside.csv,0.45,0.02,0.35,0.4,0.5,0.2,0.31,0.63,0.38,0.4
swtfox.csv,0.7,0.81,0.0,0.62,0.75,0.42,0.68,0.37,0.86,0.49
twostep.csv,0.52,0.65,0.55,0.4,0.0,0.0,0.45,0.19,0.36,0.32
