,olap-navigator.csv,qgis.csv,phonon-vlc-mplayer.csv,gnupdate.csv,qse.csv,roller.csv,xpontus.csv,zoolib.csv,rebecca-aiml.csv,xapian.csv,linux-ntfs.csv
gnupdate.csv,0.45,0.6,0.54,0.1,0.37,0.58,1.03,0.41,0.83,0.9,0.58
linux-ntfs.csv,0.66,0.7,0.79,0.57,0.53,0.61,1.14,0.79,0.68,0.68,0.04
olap-navigator.csv,0.02,0.6,0.37,0.82,0.45,0.6,0.63,0.54,0.96,0.65,0.72
phonon-vlc-mplayer.csv,0.65,0.57,0.04,0.48,0.56,0.52,0.56,0.82,0.58,0.51,0.64
qgis.csv,0.53,0.01,0.5,0.61,0.55,0.56,0.56,0.57,0.64,0.51,0.55
qse.csv,0.57,0.59,0.44,0.37,0.0,0.41,0.46,0.62,0.6,0.6,0.52
rebecca-aiml.csv,0.77,0.59,0.89,0.65,0.7,0.72,0.32,0.85,0.01,0.67,0.49
roller.csv,0.55,0.61,0.48,0.33,0.72,0.04,0.53,0.54,0.88,0.59,0.76
xapian.csv,0.45,0.56,0.45,0.81,0.61,0.67,0.38,0.55,0.6,0.04,0.77
zoolib.csv,0.79,0.85,0.71,0.9,1.0,0.9,1.01,0.23,1.0,0.89,0.92
