,n2cms.csv,maidsafe-dht.csv,nug.csv,nassp.csv
maidsafe-dht.csv,0.74,0.07,0.73,0.59
n2cms.csv,0.02,0.53,0.83,0.72
nassp.csv,0.83,0.51,0.83,0.09
nug.csv,0.71,0.95,0.07,0.66
