,n2cms.csv,maidsafe-dht.csv,nug.csv,nassp.csv
maidsafe-dht.csv,0.31,0.94,0.33,0.47
n2cms.csv,0.98,0.54,0.28,0.37
nassp.csv,0.22,0.55,0.21,0.93
nug.csv,0.46,0.09,0.95,0.46
