,n2cms.csv,maidsafe-dht.csv,nug.csv,nassp.csv
maidsafe-dht.csv,0.82,0.85,0.75,0.7
n2cms.csv,0.62,0.67,0.5,0.62
nassp.csv,0.76,0.64,0.83,0.75
nug.csv,0.7,0.93,0.82,0.74
