,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,lcfizvtop.csv,modellus.csv,boost.csv,gusanos.csv,projecteqemu.csv,modplug.csv,pydev.csv,codepurge.csv,passwordsafe.csv,pixel-commandos.csv,elateportal.csv,sandiaportals.csv,factor.csv,uwom.csv
badtrinity-zero.csv,0.58,0.45,0.59,0.0,0.43,0.48,0.89,0.5,0.0,0.72,0.39,0.7,0.57,0.4,0.56,0.35,0.39,0.43,0.56
boost.csv,0.44,0.53,0.41,0.41,0.51,0.56,0.39,0.52,0.43,0.36,0.41,0.37,0.56,0.48,0.46,0.88,0.46,0.45,0.43
codepurge.csv,0.54,0.41,0.47,0.36,0.42,0.43,0.5,0.59,0.36,0.35,0.36,0.5,0.58,0.49,0.43,0.6,0.67,0.88,0.4
elateportal.csv,0.75,0.5,0.46,0.54,0.75,0.49,0.39,0.67,0.51,0.92,0.45,0.42,0.44,0.58,0.51,0.31,0.41,0.47,0.43
etics.csv,0.5,0.66,0.47,0.49,0.88,0.64,0.48,0.67,0.46,0.47,0.5,0.72,0.82,0.85,0.74,0.5,0.46,0.52,0.6
factor.csv,0.49,0.0,0.96,0.57,0.86,0.67,0.7,0.99,0.95,0.67,0.0,0.94,0.83,0.67,0.9,0.83,0.44,0.5,0.98
gusanos.csv,0.48,0.46,0.44,0.41,0.5,0.41,0.42,0.43,0.4,0.92,0.45,0.32,0.45,0.45,0.4,0.47,0.0,0.43,0.39
kvs.csv,0.56,0.66,0.93,0.85,0.57,0.75,0.9,0.53,0.75,0.58,0.62,0.42,0.5,0.71,0.92,0.62,0.5,0.85,0.99
lcfizvtop.csv,0.5,0.48,0.44,0.41,0.64,0.63,0.36,0.44,0.43,0.79,0.51,0.33,0.4,0.52,0.5,0.3,0.41,0.86,0.43
mcore3d.csv,0.5,0.55,0.42,0.43,0.41,0.62,0.45,0.97,0.55,0.34,0.46,0.53,0.64,0.46,0.46,0.67,0.36,0.75,0.42
modellus.csv,0.64,0.66,0.52,0.45,0.86,0.67,0.42,0.53,0.46,0.91,0.65,0.51,0.5,0.74,0.72,0.5,0.47,0.8,0.48
modplug.csv,0.4,0.45,0.4,0.43,0.35,0.43,0.38,0.47,0.41,0.41,0.43,0.34,0.45,0.43,0.46,0.32,0.38,0.44,0.39
passwordsafe.csv,0.39,0.53,0.45,0.52,0.51,0.52,0.43,0.5,0.44,0.42,0.46,0.36,0.65,0.6,0.59,0.83,0.4,0.5,0.54
pixel-commandos.csv,0.65,0.76,0.9,0.9,0.88,0.88,0.0,0.98,0.0,0.39,0.87,0.92,0.94,0.78,0.91,0.0,0.67,0.0,0.99
projecteqemu.csv,0.52,0.67,0.61,0.43,0.75,0.86,0.75,0.81,0.59,0.47,0.56,0.41,0.93,0.74,0.88,0.0,0.63,0.83,0.76
pydev.csv,0.48,0.48,0.49,0.43,0.4,0.46,0.8,0.75,0.58,0.34,0.41,0.48,0.69,0.43,0.4,0.83,0.44,0.47,0.66
sandiaportals.csv,0.45,0.61,0.45,0.51,0.9,0.57,0.44,0.72,0.46,0.5,0.59,0.47,0.49,0.69,0.63,0.0,0.44,0.51,0.48
uwom.csv,0.55,0.67,0.46,0.44,0.88,0.53,0.43,0.55,0.92,0.39,0.42,0.45,0.89,0.61,0.67,0.75,0.0,0.52,0.61
xbplayer.csv,0.6,0.54,0.59,0.53,0.83,0.71,0.5,0.45,0.51,0.4,0.43,0.36,0.7,0.72,0.54,0.47,0.46,0.56,0.45
