,gtad.csv,kaffeine.csv,sarasvati.csv,taokgame.csv,scen-connect.csv,jaxen.csv,jsr308-langtools.csv,continuum-ide.csv,zabbix.csv,carabiner.csv,free-evolution.csv,qedo.csv,jruby.csv,oorexx.csv
carabiner.csv,0.03,1.0,0.13,0.07,0.03,0.06,0.85,0.34,0.38,0.62,0.28,0.1,0.87,0.67
continuum-ide.csv,0.0,0.53,0.19,0.0,0.17,0.17,0.69,0.6,0.0,0.0,0.3,0.05,0.87,0.38
free-evolution.csv,0.09,0.93,0.11,0.14,0.02,0.2,0.69,0.3,0.85,0.45,0.33,0.07,0.89,0.66
gtad.csv,0.15,1.0,0.15,0.07,0.05,0.29,1.0,0.32,1.0,0.45,0.36,0.01,0.92,0.62
jaxen.csv,0.03,0.8,0.07,0.21,0.0,0.36,0.61,0.27,0.69,0.28,0.24,0.09,0.87,0.6
jruby.csv,0.07,1.0,0.07,0.0,0.0,0.4,0.82,0.38,0.0,0.56,0.24,0.03,0.89,0.45
jsr308-langtools.csv,0.04,0.84,0.06,0.12,0.02,0.06,0.93,0.33,0.33,0.3,0.27,0.08,0.88,0.68
kaffeine.csv,0.03,0.98,0.11,0.03,0.03,0.09,0.6,0.35,0.4,0.39,0.27,0.05,0.84,0.64
oorexx.csv,0.08,1.0,0.1,0.27,0.0,0.0,0.79,0.33,0.71,0.2,0.28,0.13,0.88,0.76
qedo.csv,0.0,0.69,0.03,0.0,0.1,0.05,0.38,0.34,0.34,0.27,0.2,0.23,0.78,0.58
sarasvati.csv,0.05,1.0,0.16,0.03,0.06,0.05,0.76,0.38,0.3,0.43,0.36,0.04,0.81,0.67
taokgame.csv,0.04,1.0,0.03,0.56,0.0,0.05,0.58,0.3,0.51,0.32,0.6,0.0,0.88,0.91
zabbix.csv,0.04,1.0,0.08,0.1,0.0,0.08,0.87,0.33,0.61,0.14,0.27,0.01,0.86,0.64
