,jajuk.csv,zorannt.csv,vapor.csv,bacula.csv
bacula.csv,0.65,0.38,0.42,0.68
jajuk.csv,0.79,0.34,0.43,0.79
vapor.csv,0.18,0.44,0.47,0.23
zorannt.csv,0.63,0.42,0.39,0.77
