,campsoft.csv,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,sevenupdate.csv,freenet.csv,qlc.csv,officefloor.csv,botsnscouts.csv,google-caja.csv,yarp0.csv,kindb.csv,repositorium.csv,poormans.csv,illumination.csv,hibernate.csv,geogebra.csv
botsnscouts.csv,0.72,0.59,0.55,0.71,0.69,0.43,0.53,0.62,0.62,0.71,0.27,0.42,0.74,0.4,0.65,0.55,0.64,0.7
fbmanager.csv,0.0,0.05,0.21,0.71,0.0,0.43,0.09,0.05,0.0,0.57,0.0,0.74,0.0,0.0,0.69,0.0,0.0,0.0
freenet.csv,0.0,0.47,0.0,0.39,0.66,0.63,0.7,0.29,0.05,0.0,0.56,0.49,0.25,0.63,0.57,0.42,0.63,0.55
geogebra.csv,0.0,0.49,0.38,0.63,0.65,0.44,0.62,0.66,0.51,0.48,0.46,0.53,0.8,0.61,0.21,0.21,0.46,0.69
google-caja.csv,0.41,0.67,0.44,0.69,0.69,0.57,0.5,0.67,0.41,0.74,0.81,0.6,0.83,0.71,0.75,0.64,0.58,0.66
hibernate.csv,0.79,0.55,0.54,0.59,0.6,0.46,0.57,0.68,0.39,0.55,0.68,0.45,0.71,0.48,0.65,0.38,0.56,0.66
illumination.csv,0.33,0.69,0.47,0.0,0.4,0.0,0.16,0.55,0.0,0.0,0.49,0.3,0.0,0.0,0.0,0.78,0.0,0.0
kindb.csv,0.54,0.64,0.6,0.34,0.65,0.31,0.55,0.6,0.42,0.67,0.52,0.57,0.81,0.65,0.68,0.39,0.56,0.54
officefloor.csv,0.82,0.47,0.15,0.28,0.41,0.26,0.43,0.37,0.63,0.49,0.34,0.42,0.43,0.22,0.74,0.07,0.47,0.47
paintown.csv,0.17,0.71,0.62,0.68,0.24,0.62,0.6,0.56,0.21,0.0,0.0,0.69,0.79,0.59,0.4,0.44,0.37,0.24
poormans.csv,0.0,0.14,0.53,0.11,0.5,0.21,0.54,0.13,0.54,0.7,0.37,0.14,0.0,0.0,0.75,0.5,0.25,0.5
qlc.csv,0.0,0.63,0.57,0.4,0.5,0.41,0.64,0.74,0.58,0.45,0.49,0.7,0.67,0.31,0.63,0.32,0.57,0.43
repositorium.csv,0.0,0.4,0.26,0.41,0.2,0.36,0.43,0.26,0.06,0.0,0.27,0.6,0.0,0.91,0.15,0.33,0.07,0.1
sevenupdate.csv,0.24,0.38,0.44,0.58,0.0,0.8,0.46,0.37,0.0,0.58,0.36,0.0,0.0,0.0,0.05,0.5,0.32,0.46
sqlpower-library.csv,0.6,0.05,0.2,0.36,0.72,0.0,0.5,0.27,0.21,0.0,0.7,0.46,0.22,0.0,0.41,0.09,0.53,0.44
triplea.csv,0.36,0.64,0.73,0.61,0.59,0.48,0.37,0.6,0.66,0.59,0.66,0.51,0.75,0.54,0.4,0.48,0.58,0.68
yarp0.csv,0.73,0.61,0.56,0.61,0.63,0.48,0.52,0.64,0.53,0.61,0.59,0.8,0.57,0.13,0.62,0.65,0.56,0.48
