,empyrean.csv,amanda.csv,nutz.csv,yafdotnet.csv,mplayer-ce.csv
amanda.csv,0.65,0.06,0.55,0.77,0.66
empyrean.csv,0.03,0.75,0.7,0.69,0.99
mplayer-ce.csv,0.92,0.91,0.77,0.75,0.03
nutz.csv,0.69,0.78,0.01,0.67,0.99
yafdotnet.csv,0.69,0.61,0.69,0.06,0.72
